Sample Name, Sample-3
Time, March 10 15:05:27 2023
Operator, Smith
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 0.5nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
190.0, 1.7568, 1.75
190.5, 1.7847, 1.64
191.0, 1.8048, 1.57
191.5, 1.8215, 1.51
192.0, 1.8771, 1.33
192.5, 1.8991, 1.26
193.0, 1.9307, 1.17
193.5, 1.9408, 1.15
194.0, 1.9586, 1.10
194.5, 1.9802, 1.05
195.0, 1.9731, 1.06
195.5, 1.9619, 1.09
196.0, 1.9447, 1.14
196.5, 1.9391, 1.15
197.0, 1.9377, 1.15
197.5, 1.9244, 1.19
198.0, 1.9355, 1.16
198.5, 1.9169, 1.21
199.0, 1.9008, 1.26
199.5, 1.8750, 1.33
200.0, 1.8576, 1.39
200.5, 1.8249, 1.50
201.0, 1.7964, 1.60
201.5, 1.7633, 1.72
202.0, 1.7373, 1.83
202.5, 1.7086, 1.96
203.0, 1.6800, 2.09
203.5, 1.6536, 2.22
204.0, 1.6239, 2.38
204.5, 1.5919, 2.56
205.0, 1.5605, 2.75
205.5, 1.5280, 2.97
206.0, 1.4953, 3.20
206.5, 1.4659, 3.42
207.0, 1.4356, 3.67
207.5, 1.4078, 3.91
208.0, 1.3804, 4.16
208.5, 1.3535, 4.43
209.0, 1.3305, 4.67
209.5, 1.3042, 4.96
210.0, 1.2794, 5.26
210.5, 1.2559, 5.55
211.0, 1.2333, 5.84
211.5, 1.2111, 6.15
212.0, 1.1910, 6.44
212.5, 1.1718, 6.73
213.0, 1.1532, 7.03
213.5, 1.1355, 7.32
214.0, 1.1173, 7.63
214.5, 1.0995, 7.95
215.0, 1.0816, 8.29
215.5, 1.0656, 8.60
216.0, 1.0499, 8.91
216.5, 1.0354, 9.22
217.0, 1.0216, 9.52
217.5, 1.0079, 9.82
218.0, 0.9945, 10.13
218.5, 0.9821, 10.42
219.0, 0.9703, 10.71
219.5, 0.9571, 11.04
220.0, 0.9444, 11.37
220.5, 0.9334, 11.66
221.0, 0.9214, 11.98
221.5, 0.9103, 12.29
222.0, 0.8993, 12.61
222.5, 0.8885, 12.93
223.0, 0.8787, 13.22
