Sample Name, Sample-2
Time, March 10 15:01:37 2023
Operator, Smith
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 0.5nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
190.0, 2.1827, 0.66
190.5, 2.2352, 0.58
191.0, 2.2948, 0.51
191.5, 2.3496, 0.45
192.0, 2.3572, 0.44
192.5, 2.3271, 0.47
193.0, 2.3685, 0.43
193.5, 2.3771, 0.42
194.0, 2.4319, 0.37
194.5, 2.5106, 0.31
195.0, 2.5752, 0.27
195.5, 2.6643, 0.22
196.0, 2.6835, 0.21
196.5, 2.6381, 0.23
197.0, 2.6110, 0.24
197.5, 2.6162, 0.24
198.0, 2.6178, 0.24
198.5, 2.6009, 0.25
199.0, 2.5905, 0.26
199.5, 2.6841, 0.21
200.0, 2.7016, 0.20
200.5, 2.7394, 0.18
201.0, 2.7452, 0.18
201.5, 2.7053, 0.20
202.0, 2.6642, 0.22
202.5, 2.6287, 0.24
203.0, 2.6312, 0.23
203.5, 2.6136, 0.24
204.0, 2.6162, 0.24
204.5, 2.6095, 0.25
205.0, 2.6332, 0.23
205.5, 2.6031, 0.25
206.0, 2.5736, 0.27
206.5, 2.5384, 0.29
207.0, 2.4947, 0.32
207.5, 2.4588, 0.35
208.0, 2.4042, 0.39
208.5, 2.3719, 0.42
209.0, 2.3579, 0.44
209.5, 2.3270, 0.47
210.0, 2.2976, 0.50
210.5, 2.2702, 0.54
211.0, 2.2442, 0.57
211.5, 2.1970, 0.64
212.0, 2.1688, 0.68
212.5, 2.1280, 0.74
213.0, 2.1041, 0.79
213.5, 2.0712, 0.85
214.0, 2.0481, 0.90
214.5, 2.0235, 0.95
215.0, 1.9926, 1.02
215.5, 1.9656, 1.08
216.0, 1.9401, 1.15
216.5, 1.9102, 1.23
217.0, 1.8822, 1.31
217.5, 1.8577, 1.39
218.0, 1.8350, 1.46
218.5, 1.8160, 1.53
219.0, 1.7932, 1.61
219.5, 1.7743, 1.68
220.0, 1.7530, 1.77
220.5, 1.7308, 1.86
221.0, 1.7124, 1.94
221.5, 1.6902, 2.04
222.0, 1.6689, 2.14
222.5, 1.6484, 2.25
223.0, 1.6319, 2.33
223.5, 1.6123, 2.44
