Sample Name, Sample-1
Time, March 10 14:55:36 2023
Operator, Smith
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 0.5nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
190.0, 2.4241, 0.38
190.5, 2.5930, 0.26
191.0, 2.5689, 0.27
191.5, 2.6218, 0.24
192.0, 2.6865, 0.21
192.5, 2.5995, 0.25
193.0, 2.6079, 0.25
193.5, 2.5893, 0.26
194.0, 2.6892, 0.20
194.5, 2.7446, 0.18
195.0, 2.7604, 0.17
195.5, 2.8636, 0.14
196.0, 2.8952, 0.13
196.5, 2.9539, 0.11
197.0, 2.9704, 0.11
197.5, 2.9458, 0.11
198.0, 2.8953, 0.13
198.5, 2.9132, 0.12
199.0, 2.8833, 0.13
199.5, 2.9424, 0.11
200.0, 3.0206, 0.10
200.5, 3.1619, 0.07
201.0, 3.2958, 0.05
201.5, 3.0643, 0.09
202.0, 3.1105, 0.08
202.5, 2.9747, 0.11
203.0, 2.9572, 0.11
203.5, 2.9848, 0.10
204.0, 2.9400, 0.11
204.5, 3.0659, 0.09
205.0, 3.1134, 0.08
205.5, 3.0888, 0.08
206.0, 3.2307, 0.06
206.5, 3.2082, 0.06
207.0, 3.0807, 0.08
207.5, 3.0994, 0.08
208.0, 3.0566, 0.09
208.5, 3.0526, 0.09
209.0, 3.0624, 0.09
209.5, 3.1550, 0.07
210.0, 3.1984, 0.06
210.5, 3.1807, 0.07
211.0, 3.2432, 0.06
211.5, 3.1486, 0.07
212.0, 3.0927, 0.08
212.5, 3.1344, 0.07
213.0, 3.0881, 0.08
213.5, 3.0707, 0.08
214.0, 3.0775, 0.08
214.5, 3.0552, 0.09
215.0, 3.1085, 0.08
215.5, 3.1206, 0.08
216.0, 3.0961, 0.08
216.5, 3.0415, 0.09
217.0, 2.9848, 0.10
217.5, 2.9428, 0.11
218.0, 2.9477, 0.11
218.5, 2.8733, 0.13
219.0, 2.8845, 0.13
219.5, 2.9235, 0.12
220.0, 2.8929, 0.13
220.5, 2.8838, 0.13
221.0, 2.8445, 0.14
221.5, 2.7985, 0.16
222.0, 2.8021, 0.16
222.5, 2.7424, 0.18
223.0, 2.7325, 0.19
223.5, 2.7021, 0.20
224.0, 2.6974, 0.20
224.5, 2.6849, 0.21
225.0, 2.6657, 0.22
225.5, 2.6142, 0.24
226.0, 2.5925, 0.26
226.5, 2.5581, 0.28
227.0, 2.5268, 0.30
227.5, 2.4909, 0.32
228.0, 2.4647, 0.34
228.5, 2.4509, 0.35
229.0, 2.4217, 0.38
229.5, 2.3985, 0.40
230.0, 2.3631, 0.43
230.5, 2.3263, 0.47
231.0, 2.2971, 0.50
231.5, 2.2507, 0.56
232.0, 2.2186, 0.60
232.5, 2.1837, 0.66
233.0, 2.1525, 0.70
233.5, 2.1350, 0.73
234.0, 2.1031, 0.79
234.5, 2.0742, 0.84
235.0, 2.0421, 0.91
235.5, 2.0157, 0.96
236.0, 1.9824, 1.04
236.5, 1.9522, 1.12
237.0, 1.9267, 1.18
237.5, 1.9064, 1.24
238.0, 1.8811, 1.31
238.5, 1.8576, 1.39
239.0, 1.8403, 1.44
239.5, 1.8223, 1.51
240.0, 1.8001, 1.58
240.5, 1.7809, 1.66
241.0, 1.7613, 1.73
241.5, 1.7460, 1.79
242.0, 1.7276, 1.87
242.5, 1.7146, 1.93
243.0, 1.7019, 1.99
243.5, 1.6879, 2.05
244.0, 1.6785, 2.10
244.5, 1.6682, 2.15
245.0, 1.6531, 2.22
245.5, 1.6425, 2.28
246.0, 1.6318, 2.33
246.5, 1.6222, 2.39
247.0, 1.6128, 2.44
247.5, 1.6036, 2.49
248.0, 1.5956, 2.54
248.5, 1.5879, 2.58
249.0, 1.5799, 2.63
249.5, 1.5721, 2.68
250.0, 1.5639, 2.73
250.5, 1.5562, 2.78
251.0, 1.5477, 2.83
251.5, 1.5409, 2.88
252.0, 1.5334, 2.93
252.5, 1.5272, 2.97
253.0, 1.5211, 3.01
253.5, 1.5168, 3.04
254.0, 1.5108, 3.08
254.5, 1.5049, 3.13
255.0, 1.5000, 3.16
255.5, 1.4923, 3.22
256.0, 1.4863, 3.26
256.5, 1.4821, 3.30
257.0, 1.4765, 3.34
257.5, 1.4732, 3.36
258.0, 1.4691, 3.40
258.5, 1.4657, 3.42
259.0, 1.4620, 3.45
259.5, 1.4567, 3.49
260.0, 1.4532, 3.52
260.5, 1.4476, 3.57
261.0, 1.4422, 3.61
261.5, 1.4389, 3.64
262.0, 1.4347, 3.68
262.5, 1.4326, 3.69
263.0, 1.4295, 3.72
263.5, 1.4266, 3.74
264.0, 1.4231, 3.78
264.5, 1.4200, 3.80
265.0, 1.4152, 3.84
265.5, 1.4115, 3.88
266.0, 1.4083, 3.91
266.5, 1.4053, 3.93
267.0, 1.4027, 3.96
267.5, 1.4002, 3.98
268.0, 1.3979, 4.00
268.5, 1.3948, 4.03
269.0, 1.3925, 4.05
269.5, 1.3886, 4.09
270.0, 1.3858, 4.11
270.5, 1.3813, 4.16
271.0, 1.3786, 4.18
271.5, 1.3760, 4.21
272.0, 1.3733, 4.23
272.5, 1.3712, 4.25
273.0, 1.3682, 4.28
273.5, 1.3662, 4.30
274.0, 1.3628, 4.34
274.5, 1.3598, 4.37
275.0, 1.3558, 4.41
275.5, 1.3522, 4.44
276.0, 1.3487, 4.48
276.5, 1.3457, 4.51
277.0, 1.3440, 4.53
277.5, 1.3408, 4.56
278.0, 1.3374, 4.60
278.5, 1.3347, 4.63
279.0, 1.3306, 4.67
279.5, 1.3269, 4.71
280.0, 1.3221, 4.76
280.5, 1.3182, 4.81
281.0, 1.3137, 4.86
281.5, 1.3109, 4.89
