Sample Name, Sample-1
Time, March 10 14:24:35 2023
Operator, Smith
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 0.5nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
190.0, 2.5746, 0.27
190.5, 2.6355, 0.23
191.0, 2.5942, 0.25
191.5, 2.5861, 0.26
192.0, 2.5831, 0.26
192.5, 2.5876, 0.26
193.0, 2.6263, 0.24
193.5, 2.7684, 0.17
194.0, 2.8770, 0.13
194.5, 2.9794, 0.10
195.0, 2.9342, 0.12
195.5, 3.0289, 0.09
196.0, 2.9360, 0.12
196.5, 2.8381, 0.15
197.0, 2.8514, 0.14
197.5, 2.7936, 0.16
198.0, 2.9092, 0.12
198.5, 2.9415, 0.11
199.0, 2.9543, 0.11
199.5, 3.1393, 0.07
200.0, 3.1403, 0.07
200.5, 3.1549, 0.07
201.0, 3.0871, 0.08
201.5, 2.9472, 0.11
202.0, 2.9308, 0.12
202.5, 2.9157, 0.12
203.0, 2.9722, 0.11
203.5, 3.0972, 0.08
204.0, 3.0370, 0.09
204.5, 3.2597, 0.05
205.0, 3.1634, 0.07
205.5, 3.2080, 0.06
206.0, 3.0585, 0.09
206.5, 2.9974, 0.10
207.0, 3.0015, 0.10
207.5, 2.9992, 0.10
208.0, 3.0566, 0.09
208.5, 3.1798, 0.07
209.0, 3.1896, 0.06
209.5, 3.2178, 0.06
210.0, 3.1472, 0.07
210.5, 3.1479, 0.07
211.0, 3.0639, 0.09
211.5, 3.0412, 0.09
212.0, 2.9778, 0.11
212.5, 2.9802, 0.10
213.0, 3.0026, 0.10
213.5, 3.0532, 0.09
214.0, 3.0270, 0.09
214.5, 3.0179, 0.10
215.0, 2.9536, 0.11
215.5, 2.9509, 0.11
216.0, 2.8720, 0.13
216.5, 2.8310, 0.15
217.0, 2.8299, 0.15
217.5, 2.8258, 0.15
218.0, 2.7587, 0.17
218.5, 2.7843, 0.16
219.0, 2.7480, 0.18
219.5, 2.7379, 0.18
220.0, 2.6930, 0.20
220.5, 2.6646, 0.22
221.0, 2.6455, 0.23
221.5, 2.5872, 0.26
222.0, 2.5509, 0.28
222.5, 2.5664, 0.27
223.0, 2.5295, 0.30
223.5, 2.5220, 0.30
224.0, 2.4844, 0.33
224.5, 2.4592, 0.35
225.0, 2.4211, 0.38
225.5, 2.3943, 0.40
226.0, 2.3570, 0.44
226.5, 2.3396, 0.46
227.0, 2.2938, 0.51
227.5, 2.2766, 0.53
228.0, 2.2576, 0.55
228.5, 2.2346, 0.58
229.0, 2.1952, 0.64
