Sample Name, Sample-3
Time, March 10 14:41:07 2023
Operator, Smith
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 0.5nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
190.0, 1.7037, 1.98
190.5, 1.7490, 1.78
191.0, 1.7658, 1.71
191.5, 1.7870, 1.63
192.0, 1.7928, 1.61
192.5, 1.8110, 1.55
193.0, 1.8358, 1.46
193.5, 1.8634, 1.37
194.0, 1.8799, 1.32
194.5, 1.8921, 1.28
195.0, 1.8897, 1.29
195.5, 1.8868, 1.30
196.0, 1.8799, 1.32
196.5, 1.8623, 1.37
197.0, 1.8501, 1.41
197.5, 1.8372, 1.45
198.0, 1.8336, 1.47
198.5, 1.8212, 1.51
199.0, 1.8096, 1.55
199.5, 1.7873, 1.63
200.0, 1.7656, 1.72
200.5, 1.7365, 1.83
201.0, 1.7066, 1.97
201.5, 1.6751, 2.11
202.0, 1.6485, 2.25
202.5, 1.6147, 2.43
203.0, 1.5842, 2.61
203.5, 1.5580, 2.77
204.0, 1.5300, 2.95
204.5, 1.4991, 3.17
205.0, 1.4676, 3.41
205.5, 1.4374, 3.65
206.0, 1.4044, 3.94
206.5, 1.3738, 4.23
207.0, 1.3434, 4.54
207.5, 1.3159, 4.83
208.0, 1.2888, 5.14
208.5, 1.2638, 5.45
209.0, 1.2391, 5.77
209.5, 1.2141, 6.11
210.0, 1.1893, 6.47
210.5, 1.1663, 6.82
211.0, 1.1448, 7.17
211.5, 1.1231, 7.53
212.0, 1.1031, 7.89
212.5, 1.0847, 8.23
213.0, 1.0663, 8.58
213.5, 1.0492, 8.93
214.0, 1.0319, 9.29
214.5, 1.0136, 9.69
215.0, 0.9971, 10.07
215.5, 0.9813, 10.44
216.0, 0.9659, 10.82
216.5, 0.9517, 11.18
217.0, 0.9381, 11.53
217.5, 0.9247, 11.89
218.0, 0.9124, 12.24
218.5, 0.9001, 12.59
219.0, 0.8876, 12.95
219.5, 0.8754, 13.32
220.0, 0.8631, 13.70
220.5, 0.8520, 14.06
221.0, 0.8408, 14.43
221.5, 0.8298, 14.80
222.0, 0.8199, 15.14
222.5, 0.8096, 15.50
223.0, 0.7996, 15.86
223.5, 0.7904, 16.20
224.0, 0.7800, 16.60
224.5, 0.7703, 16.97
225.0, 0.7610, 17.34
225.5, 0.7509, 17.74
226.0, 0.7414, 18.14
226.5, 0.7317, 18.55
227.0, 0.7220, 18.97
227.5, 0.7130, 19.37
228.0, 0.7043, 19.76
228.5, 0.6950, 20.19
229.0, 0.6849, 20.66
229.5, 0.6752, 21.12
230.0, 0.6655, 21.60
230.5, 0.6557, 22.09
231.0, 0.6460, 22.60
231.5, 0.6355, 23.15
232.0, 0.6260, 23.66
232.5, 0.6163, 24.20
233.0, 0.6068, 24.73
233.5, 0.5970, 25.29
234.0, 0.5876, 25.85
234.5, 0.5780, 26.43
235.0, 0.5690, 26.98
235.5, 0.5604, 27.52
236.0, 0.5519, 28.06
236.5, 0.5439, 28.58
237.0, 0.5360, 29.11
237.5, 0.5283, 29.63
238.0, 0.5210, 30.13
238.5, 0.5139, 30.63
239.0, 0.5072, 31.10
239.5, 0.5010, 31.55
240.0, 0.4949, 32.00
240.5, 0.4893, 32.41
241.0, 0.4839, 32.82
241.5, 0.4789, 33.20
242.0, 0.4742, 33.56
242.5, 0.4697, 33.91
243.0, 0.4654, 34.25
243.5, 0.4609, 34.60
244.0, 0.4569, 34.93
244.5, 0.4529, 35.24
245.0, 0.4492, 35.55
245.5, 0.4456, 35.84
246.0, 0.4422, 36.12
246.5, 0.4392, 36.38
247.0, 0.4362, 36.62
247.5, 0.4333, 36.87
248.0, 0.4305, 37.11
248.5, 0.4277, 37.35
