Sample Name, Sample-2
Time, March 10 14:32:57 2023
Operator, Smith
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 0.5nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
190.0, 2.1451, 0.72
190.5, 2.1820, 0.66
191.0, 2.2557, 0.56
191.5, 2.3349, 0.46
192.0, 2.3953, 0.40
192.5, 2.3777, 0.42
193.0, 2.3372, 0.46
193.5, 2.3711, 0.43
194.0, 2.4095, 0.39
194.5, 2.4295, 0.37
195.0, 2.4664, 0.34
195.5, 2.5308, 0.29
196.0, 2.5442, 0.29
196.5, 2.5938, 0.25
197.0, 2.6269, 0.24
197.5, 2.5990, 0.25
198.0, 2.5786, 0.26
198.5, 2.5235, 0.30
199.0, 2.5525, 0.28
199.5, 2.5536, 0.28
200.0, 2.5972, 0.25
200.5, 2.6404, 0.23
201.0, 2.5877, 0.26
201.5, 2.6084, 0.25
202.0, 2.5745, 0.27
202.5, 2.5507, 0.28
203.0, 2.5463, 0.28
203.5, 2.4977, 0.32
204.0, 2.4674, 0.34
204.5, 2.4531, 0.35
205.0, 2.4357, 0.37
205.5, 2.4058, 0.39
206.0, 2.3906, 0.41
206.5, 2.3741, 0.42
207.0, 2.3241, 0.47
207.5, 2.2840, 0.52
208.0, 2.2334, 0.58
208.5, 2.1987, 0.63
209.0, 2.1636, 0.69
209.5, 2.1236, 0.75
210.0, 2.1000, 0.79
210.5, 2.0635, 0.86
211.0, 2.0379, 0.92
211.5, 2.0003, 1.00
212.0, 1.9728, 1.06
212.5, 1.9366, 1.16
213.0, 1.9032, 1.25
213.5, 1.8748, 1.33
214.0, 1.8425, 1.44
214.5, 1.8157, 1.53
215.0, 1.7886, 1.63
215.5, 1.7644, 1.72
216.0, 1.7393, 1.82
216.5, 1.7147, 1.93
217.0, 1.6925, 2.03
217.5, 1.6682, 2.15
218.0, 1.6436, 2.27
218.5, 1.6198, 2.40
219.0, 1.5970, 2.53
219.5, 1.5775, 2.65
220.0, 1.5581, 2.77
220.5, 1.5388, 2.89
221.0, 1.5200, 3.02
221.5, 1.5006, 3.16
222.0, 1.4822, 3.29
222.5, 1.4630, 3.44
223.0, 1.4444, 3.59
223.5, 1.4245, 3.76
224.0, 1.4077, 3.91
224.5, 1.3901, 4.07
225.0, 1.3739, 4.23
225.5, 1.3566, 4.40
226.0, 1.3395, 4.58
226.5, 1.3220, 4.76
227.0, 1.3047, 4.96
227.5, 1.2864, 5.17
228.0, 1.2686, 5.39
228.5, 1.2513, 5.61
