Sample Name, Sample-2
Time, March 10 15:32:04 2023
Operator, Smith
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 0.5nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
190.0, 1.8656, 1.36
190.5, 1.9382, 1.15
191.0, 2.0243, 0.95
191.5, 2.0698, 0.85
192.0, 2.1035, 0.79
192.5, 2.1363, 0.73
193.0, 2.1516, 0.71
193.5, 2.1582, 0.69
194.0, 2.1766, 0.67
194.5, 2.2180, 0.61
195.0, 2.2217, 0.60
195.5, 2.2616, 0.55
196.0, 2.3204, 0.48
196.5, 2.3327, 0.46
197.0, 2.3396, 0.46
197.5, 2.3464, 0.45
198.0, 2.3545, 0.44
198.5, 2.3251, 0.47
199.0, 2.3186, 0.48
199.5, 2.3066, 0.49
200.0, 2.3205, 0.48
200.5, 2.3228, 0.48
201.0, 2.3225, 0.48
201.5, 2.2931, 0.51
202.0, 2.2866, 0.52
202.5, 2.2617, 0.55
203.0, 2.2270, 0.59
203.5, 2.1880, 0.65
204.0, 2.1487, 0.71
204.5, 2.1194, 0.76
205.0, 2.0895, 0.81
205.5, 2.0611, 0.87
206.0, 2.0215, 0.95
206.5, 1.9823, 1.04
207.0, 1.9443, 1.14
207.5, 1.9039, 1.25
208.0, 1.8592, 1.38
208.5, 1.8173, 1.52
209.0, 1.7761, 1.67
209.5, 1.7384, 1.83
210.0, 1.7004, 1.99
210.5, 1.6673, 2.15
211.0, 1.6361, 2.31
211.5, 1.6031, 2.49
212.0, 1.5706, 2.69
212.5, 1.5383, 2.90
213.0, 1.5050, 3.13
213.5, 1.4743, 3.36
214.0, 1.4429, 3.61
214.5, 1.4169, 3.83
215.0, 1.3894, 4.08
215.5, 1.3630, 4.34
216.0, 1.3397, 4.57
216.5, 1.3164, 4.83
217.0, 1.2922, 5.10
217.5, 1.2683, 5.39
218.0, 1.2464, 5.67
218.5, 1.2248, 5.96
219.0, 1.2038, 6.25
219.5, 1.1834, 6.56
220.0, 1.1632, 6.87
220.5, 1.1448, 7.17
221.0, 1.1267, 7.47
221.5, 1.1081, 7.80
222.0, 1.0901, 8.13
222.5, 1.0711, 8.49
223.0, 1.0535, 8.84
223.5, 1.0359, 9.21
224.0, 1.0197, 9.56
224.5, 1.0027, 9.94
225.0, 0.9857, 10.33
225.5, 0.9697, 10.72
226.0, 0.9537, 11.13
226.5, 0.9368, 11.57
227.0, 0.9197, 12.03
227.5, 0.9032, 12.50
228.0, 0.8870, 12.97
228.5, 0.8701, 13.49
229.0, 0.8532, 14.02
229.5, 0.8362, 14.58
230.0, 0.8193, 15.16
230.5, 0.8026, 15.75
231.0, 0.7847, 16.42
231.5, 0.7668, 17.11
232.0, 0.7490, 17.83
232.5, 0.7312, 18.57
233.0, 0.7142, 19.31
233.5, 0.6971, 20.08
234.0, 0.6804, 20.88
234.5, 0.6641, 21.67
235.0, 0.6480, 22.49
235.5, 0.6339, 23.23
236.0, 0.6192, 24.03
236.5, 0.6051, 24.83
237.0, 0.5912, 25.63
237.5, 0.5781, 26.42
238.0, 0.5658, 27.17
238.5, 0.5538, 27.94
239.0, 0.5427, 28.66
239.5, 0.5322, 29.36
240.0, 0.5227, 30.01
240.5, 0.5139, 30.62
241.0, 0.5053, 31.24
241.5, 0.4977, 31.79
242.0, 0.4900, 32.36
242.5, 0.4827, 32.91
243.0, 0.4761, 33.41
243.5, 0.4695, 33.92
244.0, 0.4635, 34.40
244.5, 0.4578, 34.85
245.0, 0.4525, 35.28
245.5, 0.4477, 35.67
246.0, 0.4432, 36.04
246.5, 0.4387, 36.41
247.0, 0.4344, 36.78
247.5, 0.4305, 37.11
248.0, 0.4269, 37.42
248.5, 0.4231, 37.75
249.0, 0.4196, 38.06
249.5, 0.4164, 38.33
250.0, 0.4135, 38.60
250.5, 0.4104, 38.86
251.0, 0.4076, 39.12
251.5, 0.4049, 39.36
252.0, 0.4024, 39.59
252.5, 0.4000, 39.81
253.0, 0.3978, 40.01
253.5, 0.3952, 40.25
254.0, 0.3934, 40.42
254.5, 0.3905, 40.69
255.0, 0.3888, 40.85
255.5, 0.3869, 41.03
256.0, 0.3851, 41.20
256.5, 0.3835, 41.35
257.0, 0.3820, 41.50
257.5, 0.3805, 41.64
258.0, 0.3790, 41.78
258.5, 0.3776, 41.91
259.0, 0.3763, 42.04
259.5, 0.3751, 42.16
260.0, 0.3740, 42.26
260.5, 0.3727, 42.39
261.0, 0.3717, 42.49
261.5, 0.3707, 42.59
262.0, 0.3697, 42.69
262.5, 0.3685, 42.81
263.0, 0.3675, 42.90
263.5, 0.3665, 43.00
264.0, 0.3658, 43.07
264.5, 0.3651, 43.14
265.0, 0.3644, 43.21
265.5, 0.3638, 43.27
266.0, 0.3632, 43.34
266.5, 0.3624, 43.41
267.0, 0.3617, 43.48
267.5, 0.3611, 43.55
268.0, 0.3604, 43.61
268.5, 0.3597, 43.68
269.0, 0.3592, 43.73
269.5, 0.3587, 43.78
270.0, 0.3582, 43.84
270.5, 0.3576, 43.89
271.0, 0.3570, 43.95
271.5, 0.3564, 44.01
272.0, 0.3560, 44.06
272.5, 0.3553, 44.13
273.0, 0.3546, 44.20
273.5, 0.3542, 44.24
274.0, 0.3537, 44.29
274.5, 0.3532, 44.34
275.0, 0.3526, 44.40
275.5, 0.3520, 44.46
276.0, 0.3513, 44.54
276.5, 0.3507, 44.60
277.0, 0.3500, 44.66
277.5, 0.3492, 44.75
278.0, 0.3483, 44.84
278.5, 0.3476, 44.91
279.0, 0.3468, 45.00
279.5, 0.3460, 45.08
280.0, 0.3451, 45.18
280.5, 0.3440, 45.29
281.0, 0.3429, 45.40
281.5, 0.3419, 45.51
282.0, 0.3407, 45.63
282.5, 0.3395, 45.76
283.0, 0.3384, 45.88
283.5, 0.3370, 46.02
284.0, 0.3358, 46.16
284.5, 0.3342, 46.32
285.0, 0.3328, 46.48
285.5, 0.3309, 46.68
286.0, 0.3290, 46.88
286.5, 0.3271, 47.09
287.0, 0.3251, 47.30
287.5, 0.3230, 47.53
288.0, 0.3212, 47.73
288.5, 0.3193, 47.94
289.0, 0.3175, 48.14
289.5, 0.3156, 48.35
290.0, 0.3139, 48.54
290.5, 0.3119, 48.76
291.0, 0.3100, 48.97
291.5, 0.3078, 49.23
292.0, 0.3059, 49.44
292.5, 0.3040, 49.66
293.0, 0.3020, 49.89
293.5, 0.3002, 50.10
294.0, 0.2983, 50.32
294.5, 0.2964, 50.53
295.0, 0.2947, 50.74
295.5, 0.2928, 50.96
296.0, 0.2910, 51.17
296.5, 0.2893, 51.37
297.0, 0.2876, 51.57
297.5, 0.2861, 51.74
298.0, 0.2846, 51.92
298.5, 0.2833, 52.08
299.0, 0.2819, 52.25
299.5, 0.2807, 52.40
300.0, 0.2793, 52.57
300.5, 0.2781, 52.71
301.0, 0.2770, 52.85
301.5, 0.2756, 53.01
302.0, 0.2744, 53.16
302.5, 0.2733, 53.30
303.0, 0.2723, 53.43
303.5, 0.2713, 53.54
304.0, 0.2703, 53.67
304.5, 0.2694, 53.77
305.0, 0.2683, 53.92
305.5, 0.2674, 54.02
306.0, 0.2665, 54.14
306.5, 0.2655, 54.26
307.0, 0.2646, 54.38
307.5, 0.2638, 54.48
308.0, 0.2630, 54.58
308.5, 0.2623, 54.66
309.0, 0.2616, 54.75
309.5, 0.2608, 54.85
310.0, 0.2601, 54.94
310.5, 0.2594, 55.03
311.0, 0.2587, 55.12
311.5, 0.2579, 55.22
312.0, 0.2572, 55.31
312.5, 0.2566, 55.38
313.0, 0.2561, 55.44
313.5, 0.2555, 55.52
314.0, 0.2551, 55.57
314.5, 0.2545, 55.65
315.0, 0.2540, 55.72
315.5, 0.2533, 55.81
316.0, 0.2530, 55.85
316.5, 0.2521, 55.96
317.0, 0.2517, 56.02
317.5, 0.2513, 56.06
318.0, 0.2508, 56.13
318.5, 0.2504, 56.18
319.0, 0.2499, 56.24
319.5, 0.2494, 56.31
320.0, 0.2489, 56.38
320.5, 0.2484, 56.44
321.0, 0.2479, 56.50
321.5, 0.2474, 56.58
322.0, 0.2468, 56.65
322.5, 0.2465, 56.69
323.0, 0.2461, 56.74
323.5, 0.2457, 56.79
324.0, 0.2453, 56.84
324.5, 0.2448, 56.91
325.0, 0.2443, 56.97
325.5, 0.2440, 57.01
326.0, 0.2435, 57.08
326.5, 0.2429, 57.16
327.0, 0.2426, 57.21
327.5, 0.2424, 57.23
328.0, 0.2421, 57.27
328.5, 0.2418, 57.31
329.0, 0.2412, 57.38
329.5, 0.2408, 57.44
330.0, 0.2405, 57.47
330.5, 0.2402, 57.52
331.0, 0.2396, 57.60
331.5, 0.2390, 57.68
332.0, 0.2388, 57.70
332.5, 0.2385, 57.74
333.0, 0.2383, 57.77
333.5, 0.2381, 57.80
334.0, 0.2375, 57.88
334.5, 0.2371, 57.93
335.0, 0.2367, 57.98
335.5, 0.2364, 58.03
336.0, 0.2359, 58.09
336.5, 0.2353, 58.17
337.0, 0.2353, 58.17
337.5, 0.2350, 58.21
338.0, 0.2349, 58.23
338.5, 0.2344, 58.29
339.0, 0.2341, 58.34
339.5, 0.2337, 58.39
340.0, 0.2330, 58.48
340.5, 0.2330, 58.48
341.0, 0.2325, 58.55
341.5, 0.2324, 58.55
342.0, 0.2319, 58.63
342.5, 0.2316, 58.67
343.0, 0.2314, 58.69
343.5, 0.2313, 58.70
344.0, 0.2310, 58.75
344.5, 0.2308, 58.78
345.0, 0.2303, 58.84
345.5, 0.2300, 58.89
346.0, 0.2296, 58.93
346.5, 0.2293, 58.98
347.0, 0.2291, 59.01
347.5, 0.2287, 59.06
348.0, 0.2286, 59.07
348.5, 0.2286, 59.08
349.0, 0.2283, 59.12
349.5, 0.2279, 59.17
350.0, 0.2275, 59.22
350.5, 0.2270, 59.29
351.0, 0.2268, 59.31
351.5, 0.2265, 59.35
352.0, 0.2265, 59.37
352.5, 0.2260, 59.43
353.0, 0.2259, 59.44
353.5, 0.2258, 59.45
354.0, 0.2257, 59.47
354.5, 0.2253, 59.52
355.0, 0.2249, 59.58
355.5, 0.2246, 59.62
356.0, 0.2243, 59.66
356.5, 0.2241, 59.69
357.0, 0.2240, 59.71
357.5, 0.2238, 59.74
358.0, 0.2235, 59.77
358.5, 0.2233, 59.80
359.0, 0.2231, 59.83
359.5, 0.2228, 59.86
360.0, 0.2225, 59.91
360.5, 0.2221, 59.96
361.0, 0.2219, 59.99
361.5, 0.2217, 60.01
362.0, 0.2217, 60.03
362.5, 0.2215, 60.04
363.0, 0.2214, 60.07
363.5, 0.2211, 60.10
364.0, 0.2211, 60.11
364.5, 0.2207, 60.16
365.0, 0.2203, 60.22
365.5, 0.2199, 60.26
366.0, 0.2196, 60.31
366.5, 0.2197, 60.30
367.0, 0.2196, 60.32
367.5, 0.2195, 60.33
368.0, 0.2193, 60.36
368.5, 0.2190, 60.39
369.0, 0.2188, 60.42
369.5, 0.2185, 60.47
370.0, 0.2184, 60.48
370.5, 0.2183, 60.50
371.0, 0.2181, 60.52
371.5, 0.2180, 60.53
372.0, 0.2176, 60.58
372.5, 0.2175, 60.60
373.0, 0.2175, 60.61
373.5, 0.2174, 60.61
374.0, 0.2172, 60.65
374.5, 0.2168, 60.71
375.0, 0.2164, 60.76
375.5, 0.2163, 60.76
376.0, 0.2163, 60.77
376.5, 0.2161, 60.79
377.0, 0.2160, 60.81
377.5, 0.2157, 60.85
378.0, 0.2159, 60.82
378.5, 0.2156, 60.87
379.0, 0.2153, 60.91
379.5, 0.2150, 60.96
380.0, 0.2149, 60.97
380.5, 0.2148, 60.98
381.0, 0.2148, 60.99
381.5, 0.2143, 61.05
382.0, 0.2143, 61.05
382.5, 0.2142, 61.06
383.0, 0.2142, 61.07
383.5, 0.2140, 61.09
384.0, 0.2135, 61.17
384.5, 0.2134, 61.18
385.0, 0.2132, 61.20
385.5, 0.2132, 61.21
386.0, 0.2131, 61.22
386.5, 0.2128, 61.26
387.0, 0.2127, 61.27
387.5, 0.2126, 61.29
388.0, 0.2126, 61.30
388.5, 0.2123, 61.33
389.0, 0.2120, 61.37
389.5, 0.2119, 61.39
390.0, 0.2117, 61.42
390.5, 0.2119, 61.39
391.0, 0.2116, 61.43
391.5, 0.2116, 61.43
392.0, 0.2112, 61.48
392.5, 0.2113, 61.47
393.0, 0.2112, 61.49
393.5, 0.2110, 61.52
394.0, 0.2108, 61.55
394.5, 0.2107, 61.56
395.0, 0.2105, 61.60
395.5, 0.2104, 61.60
396.0, 0.2102, 61.62
396.5, 0.2101, 61.65
397.0, 0.2099, 61.67
397.5, 0.2100, 61.66
398.0, 0.2098, 61.69
398.5, 0.2096, 61.71
399.0, 0.2095, 61.74
399.5, 0.2093, 61.76
400.0, 0.2092, 61.77
400.5, 0.2091, 61.79
401.0, 0.2091, 61.79
401.5, 0.2089, 61.81
402.0, 0.2089, 61.82
402.5, 0.2087, 61.84
403.0, 0.2085, 61.87
403.5, 0.2084, 61.89
404.0, 0.2083, 61.91
404.5, 0.2080, 61.94
405.0, 0.2081, 61.93
405.5, 0.2080, 61.94
406.0, 0.2078, 61.97
406.5, 0.2077, 61.99
407.0, 0.2077, 61.99
407.5, 0.2076, 62.00
408.0, 0.2074, 62.02
408.5, 0.2073, 62.05
409.0, 0.2070, 62.08
409.5, 0.2069, 62.10
410.0, 0.2070, 62.09
410.5, 0.2069, 62.11
411.0, 0.2067, 62.13
411.5, 0.2066, 62.14
412.0, 0.2065, 62.15
412.5, 0.2065, 62.15
413.0, 0.2063, 62.19
413.5, 0.2062, 62.20
414.0, 0.2060, 62.24
414.5, 0.2059, 62.25
415.0, 0.2059, 62.25
415.5, 0.2058, 62.25
416.0, 0.2056, 62.28
416.5, 0.2055, 62.30
417.0, 0.2055, 62.31
417.5, 0.2055, 62.30
418.0, 0.2053, 62.34
418.5, 0.2052, 62.35
419.0, 0.2050, 62.38
419.5, 0.2049, 62.38
420.0, 0.2049, 62.39
420.5, 0.2048, 62.41
421.0, 0.2046, 62.42
421.5, 0.2046, 62.44
422.0, 0.2045, 62.45
422.5, 0.2045, 62.45
423.0, 0.2043, 62.47
423.5, 0.2042, 62.48
424.0, 0.2040, 62.51
424.5, 0.2040, 62.52
425.0, 0.2040, 62.52
425.5, 0.2039, 62.53
426.0, 0.2038, 62.55
426.5, 0.2037, 62.56
427.0, 0.2036, 62.58
427.5, 0.2035, 62.58
428.0, 0.2034, 62.60
428.5, 0.2034, 62.60
429.0, 0.2033, 62.62
429.5, 0.2032, 62.64
430.0, 0.2031, 62.64
430.5, 0.2031, 62.65
431.0, 0.2030, 62.66
431.5, 0.2029, 62.67
