Sample Name, Sample-3
Time, March 10 15:38:12 2023
Operator, Smith
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 0.5nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
190.0, 1.5492, 2.82
190.5, 1.5764, 2.65
191.0, 1.6119, 2.44
191.5, 1.6302, 2.34
192.0, 1.6589, 2.19
192.5, 1.6611, 2.18
193.0, 1.6669, 2.15
193.5, 1.6806, 2.09
194.0, 1.6890, 2.05
194.5, 1.7002, 1.99
195.0, 1.7005, 1.99
195.5, 1.7055, 1.97
196.0, 1.7081, 1.96
196.5, 1.6973, 2.01
197.0, 1.6876, 2.05
197.5, 1.6690, 2.14
198.0, 1.6527, 2.23
198.5, 1.6315, 2.34
199.0, 1.6132, 2.44
199.5, 1.5902, 2.57
200.0, 1.5631, 2.73
200.5, 1.5404, 2.88
201.0, 1.5147, 3.06
201.5, 1.4845, 3.28
202.0, 1.4539, 3.52
202.5, 1.4169, 3.83
203.0, 1.3816, 4.15
203.5, 1.3473, 4.49
204.0, 1.3141, 4.85
204.5, 1.2820, 5.22
205.0, 1.2493, 5.63
205.5, 1.2196, 6.03
206.0, 1.1884, 6.48
206.5, 1.1579, 6.95
207.0, 1.1265, 7.47
207.5, 1.0968, 8.00
208.0, 1.0673, 8.57
208.5, 1.0402, 9.12
209.0, 1.0145, 9.67
209.5, 0.9903, 10.23
210.0, 0.9659, 10.82
210.5, 0.9440, 11.38
211.0, 0.9228, 11.95
211.5, 0.9023, 12.52
212.0, 0.8819, 13.13
212.5, 0.8626, 13.72
213.0, 0.8442, 14.32
213.5, 0.8262, 14.92
214.0, 0.8089, 15.53
214.5, 0.7928, 16.12
215.0, 0.7767, 16.72
215.5, 0.7614, 17.32
216.0, 0.7476, 17.88
216.5, 0.7337, 18.46
217.0, 0.7207, 19.03
217.5, 0.7072, 19.62
218.0, 0.6948, 20.19
218.5, 0.6829, 20.75
219.0, 0.6711, 21.33
219.5, 0.6599, 21.88
