Sample Name, Sample-4
Time, March 10 13:58:20 2023
Operator, Smith
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 0.5nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
292.5, 2.2134, 0.61
293.0, 2.2039, 0.63
293.5, 2.1960, 0.64
294.0, 2.1756, 0.67
294.5, 2.1588, 0.69
295.0, 2.1431, 0.72
295.5, 2.1231, 0.75
296.0, 2.1110, 0.77
296.5, 2.1025, 0.79
297.0, 2.0885, 0.82
297.5, 2.0885, 0.82
298.0, 2.0752, 0.84
298.5, 2.0671, 0.86
299.0, 2.0563, 0.88
299.5, 2.0417, 0.91
300.0, 2.0322, 0.93
300.5, 2.0210, 0.95
301.0, 2.0146, 0.97
301.5, 2.0049, 0.99
302.0, 1.9986, 1.00
302.5, 1.9987, 1.00
303.0, 1.9900, 1.02
303.5, 1.9854, 1.03
304.0, 1.9733, 1.06
304.5, 1.9589, 1.10
305.0, 1.9530, 1.11
305.5, 1.9451, 1.13
306.0, 1.9409, 1.15
306.5, 1.9318, 1.17
307.0, 1.9305, 1.17
307.5, 1.9271, 1.18
308.0, 1.9260, 1.19
308.5, 1.9193, 1.20
309.0, 1.9103, 1.23
309.5, 1.9016, 1.25
310.0, 1.8958, 1.27
310.5, 1.8913, 1.28
311.0, 1.8861, 1.30
311.5, 1.8873, 1.30
312.0, 1.8793, 1.32
312.5, 1.8778, 1.32
313.0, 1.8749, 1.33
313.5, 1.8712, 1.35
314.0, 1.8651, 1.36
314.5, 1.8578, 1.39
315.0, 1.8514, 1.41
315.5, 1.8478, 1.42
316.0, 1.8437, 1.43
316.5, 1.8409, 1.44
317.0, 1.8403, 1.44
317.5, 1.8402, 1.44
318.0, 1.8347, 1.46
318.5, 1.8303, 1.48
319.0, 1.8276, 1.49
319.5, 1.8199, 1.51
320.0, 1.8150, 1.53
320.5, 1.8112, 1.54
321.0, 1.8075, 1.56
321.5, 1.8077, 1.56
322.0, 1.8030, 1.57
322.5, 1.8011, 1.58
323.0, 1.7984, 1.59
323.5, 1.7929, 1.61
324.0, 1.7830, 1.65
324.5, 1.7780, 1.67
325.0, 1.7744, 1.68
325.5, 1.7727, 1.69
326.0, 1.7694, 1.70
326.5, 1.7705, 1.70
327.0, 1.7669, 1.71
327.5, 1.7670, 1.71
328.0, 1.7579, 1.75
328.5, 1.7507, 1.78
329.0, 1.7459, 1.80
329.5, 1.7418, 1.81
330.0, 1.7364, 1.83
330.5, 1.7384, 1.83
331.0, 1.7350, 1.84
331.5, 1.7341, 1.84
332.0, 1.7305, 1.86
332.5, 1.7264, 1.88
333.0, 1.7230, 1.89
333.5, 1.7159, 1.92
334.0, 1.7087, 1.96
334.5, 1.7034, 1.98
335.0, 1.6996, 2.00
335.5, 1.6990, 2.00
336.0, 1.6959, 2.01
336.5, 1.6952, 2.02
337.0, 1.6909, 2.04
337.5, 1.6896, 2.04
338.0, 1.6839, 2.07
338.5, 1.6770, 2.10
339.0, 1.6722, 2.13
339.5, 1.6658, 2.16
340.0, 1.6628, 2.17
340.5, 1.6617, 2.18
341.0, 1.6567, 2.20
341.5, 1.6556, 2.21
342.0, 1.6531, 2.22
342.5, 1.6517, 2.23
343.0, 1.6485, 2.25
343.5, 1.6433, 2.27
344.0, 1.6379, 2.30
344.5, 1.6312, 2.34
345.0, 1.6271, 2.36
345.5, 1.6225, 2.38
346.0, 1.6209, 2.39
346.5, 1.6203, 2.40
347.0, 1.6159, 2.42
347.5, 1.6166, 2.42
348.0, 1.6110, 2.45
348.5, 1.6068, 2.47
349.0, 1.6000, 2.51
349.5, 1.5950, 2.54
350.0, 1.5920, 2.56
350.5, 1.5877, 2.58
351.0, 1.5875, 2.59
351.5, 1.5834, 2.61
352.0, 1.5840, 2.61
352.5, 1.5800, 2.63
353.0, 1.5769, 2.65
353.5, 1.5700, 2.69
354.0, 1.5664, 2.71
354.5, 1.5633, 2.73
355.0, 1.5567, 2.78
355.5, 1.5556, 2.78
356.0, 1.5532, 2.80
356.5, 1.5509, 2.81
357.0, 1.5476, 2.83
357.5, 1.5449, 2.85
358.0, 1.5400, 2.88
358.5, 1.5353, 2.92
359.0, 1.5317, 2.94
359.5, 1.5263, 2.98
360.0, 1.5221, 3.01
360.5, 1.5204, 3.02
361.0, 1.5190, 3.03
361.5, 1.5162, 3.05
362.0, 1.5138, 3.06
362.5, 1.5096, 3.09
363.0, 1.5055, 3.12
363.5, 1.4981, 3.18
364.0, 1.4961, 3.19
364.5, 1.4920, 3.22
365.0, 1.4903, 3.23
365.5, 1.4867, 3.26
366.0, 1.4863, 3.26
366.5, 1.4834, 3.29
367.0, 1.4805, 3.31
367.5, 1.4755, 3.35
368.0, 1.4713, 3.38
368.5, 1.4671, 3.41
369.0, 1.4635, 3.44
369.5, 1.4602, 3.47
370.0, 1.4569, 3.49
370.5, 1.4522, 3.53
371.0, 1.4498, 3.55
371.5, 1.4470, 3.57
372.0, 1.4423, 3.61
372.5, 1.4395, 3.63
373.0, 1.4344, 3.68
373.5, 1.4313, 3.70
374.0, 1.4274, 3.74
374.5, 1.4245, 3.76
375.0, 1.4228, 3.78
375.5, 1.4192, 3.81
376.0, 1.4168, 3.83
376.5, 1.4129, 3.86
377.0, 1.4104, 3.89
377.5, 1.4070, 3.92
378.0, 1.4032, 3.95
378.5, 1.3989, 3.99
379.0, 1.3962, 4.02
379.5, 1.3931, 4.04
380.0, 1.3911, 4.06
380.5, 1.3879, 4.09
381.0, 1.3843, 4.13
381.5, 1.3813, 4.16
382.0, 1.3778, 4.19
382.5, 1.3744, 4.22
383.0, 1.3704, 4.26
383.5, 1.3671, 4.29
384.0, 1.3640, 4.33
384.5, 1.3613, 4.35
385.0, 1.3591, 4.37
385.5, 1.3559, 4.41
386.0, 1.3536, 4.43
386.5, 1.3506, 4.46
387.0, 1.3467, 4.50
387.5, 1.3435, 4.53
388.0, 1.3396, 4.57
388.5, 1.3363, 4.61
389.0, 1.3332, 4.64
389.5, 1.3313, 4.66
390.0, 1.3286, 4.69
390.5, 1.3251, 4.73
391.0, 1.3221, 4.76
391.5, 1.3193, 4.79
392.0, 1.3162, 4.83
392.5, 1.3129, 4.86
393.0, 1.3095, 4.90
393.5, 1.3057, 4.95
394.0, 1.3027, 4.98
394.5, 1.2998, 5.01
395.0, 1.2974, 5.04
395.5, 1.2945, 5.08
396.0, 1.2931, 5.09
396.5, 1.2893, 5.14
397.0, 1.2865, 5.17
397.5, 1.2831, 5.21
398.0, 1.2794, 5.26
398.5, 1.2770, 5.28
399.0, 1.2741, 5.32
399.5, 1.2716, 5.35
400.0, 1.2690, 5.38
400.5, 1.2657, 5.42
401.0, 1.2637, 5.45
401.5, 1.2601, 5.49
402.0, 1.2572, 5.53
402.5, 1.2535, 5.58
403.0, 1.2511, 5.61
403.5, 1.2488, 5.64
404.0, 1.2458, 5.68
404.5, 1.2433, 5.71
405.0, 1.2400, 5.75
405.5, 1.2370, 5.79
406.0, 1.2345, 5.83
406.5, 1.2311, 5.87
407.0, 1.2284, 5.91
407.5, 1.2253, 5.95
408.0, 1.2224, 5.99
408.5, 1.2198, 6.03
409.0, 1.2176, 6.06
409.5, 1.2149, 6.10
410.0, 1.2117, 6.14
410.5, 1.2097, 6.17
411.0, 1.2064, 6.22
411.5, 1.2042, 6.25
412.0, 1.2011, 6.29
412.5, 1.1981, 6.34
413.0, 1.1960, 6.37
413.5, 1.1930, 6.41
414.0, 1.1908, 6.45
414.5, 1.1878, 6.49
415.0, 1.1849, 6.53
415.5, 1.1827, 6.57
416.0, 1.1799, 6.61
416.5, 1.1768, 6.66
417.0, 1.1738, 6.70
417.5, 1.1714, 6.74
418.0, 1.1687, 6.78
418.5, 1.1660, 6.82
419.0, 1.1635, 6.86
419.5, 1.1606, 6.91
420.0, 1.1584, 6.94
420.5, 1.1558, 6.99
421.0, 1.1534, 7.02
421.5, 1.1505, 7.07
422.0, 1.1477, 7.12
422.5, 1.1450, 7.16
423.0, 1.1426, 7.20
423.5, 1.1402, 7.24
424.0, 1.1378, 7.28
424.5, 1.1351, 7.33
425.0, 1.1326, 7.37
425.5, 1.1299, 7.42
426.0, 1.1277, 7.45
426.5, 1.1246, 7.51
427.0, 1.1220, 7.55
427.5, 1.1195, 7.59
428.0, 1.1173, 7.63
428.5, 1.1147, 7.68
429.0, 1.1125, 7.72
429.5, 1.1101, 7.76
430.0, 1.1071, 7.81
