Sample Name, Sample-3
Time, March 20 14:58:03 2023
Operator, Smith
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 0.5nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
190.0, 1.6860, 2.06
190.5, 1.7539, 1.76
191.0, 1.8209, 1.51
191.5, 1.8454, 1.43
192.0, 1.8996, 1.26
192.5, 1.9359, 1.16
193.0, 1.9442, 1.14
193.5, 1.9710, 1.07
194.0, 1.9915, 1.02
194.5, 2.0143, 0.97
195.0, 2.0545, 0.88
195.5, 2.0761, 0.84
196.0, 2.1074, 0.78
196.5, 2.1321, 0.74
197.0, 2.1340, 0.73
197.5, 2.1513, 0.71
198.0, 2.1357, 0.73
198.5, 2.1301, 0.74
199.0, 2.1347, 0.73
199.5, 2.1312, 0.74
200.0, 2.1303, 0.74
200.5, 2.1377, 0.73
201.0, 2.1266, 0.75
201.5, 2.1105, 0.78
202.0, 2.1036, 0.79
202.5, 2.0772, 0.84
203.0, 2.0530, 0.89
203.5, 2.0189, 0.96
204.0, 1.9807, 1.05
204.5, 1.9472, 1.13
205.0, 1.9119, 1.22
205.5, 1.8857, 1.30
206.0, 1.8472, 1.42
206.5, 1.8122, 1.54
207.0, 1.7731, 1.69
207.5, 1.7344, 1.84
208.0, 1.6899, 2.04
208.5, 1.6470, 2.25
209.0, 1.6107, 2.45
209.5, 1.5759, 2.66
210.0, 1.5403, 2.88
210.5, 1.5066, 3.11
211.0, 1.4765, 3.34
211.5, 1.4445, 3.59
212.0, 1.4141, 3.85
212.5, 1.3840, 4.13
213.0, 1.3522, 4.44
213.5, 1.3218, 4.77
214.0, 1.2941, 5.08
214.5, 1.2687, 5.39
215.0, 1.2427, 5.72
215.5, 1.2178, 6.06
216.0, 1.1946, 6.39
216.5, 1.1719, 6.73
217.0, 1.1511, 7.06
217.5, 1.1295, 7.42
218.0, 1.1078, 7.80
218.5, 1.0871, 8.18
219.0, 1.0673, 8.56
219.5, 1.0484, 8.95
220.0, 1.0304, 9.32
220.5, 1.0119, 9.73
221.0, 0.9951, 10.11
221.5, 0.9777, 10.53
222.0, 0.9603, 10.96
222.5, 0.9439, 11.38
223.0, 0.9268, 11.84
223.5, 0.9107, 12.28
224.0, 0.8949, 12.74
224.5, 0.8793, 13.20
225.0, 0.8643, 13.67
225.5, 0.8483, 14.18
226.0, 0.8330, 14.69
226.5, 0.8180, 15.21
227.0, 0.8024, 15.76
227.5, 0.7866, 16.34
228.0, 0.7708, 16.95
228.5, 0.7552, 17.57
229.0, 0.7398, 18.21
229.5, 0.7241, 18.88
230.0, 0.7085, 19.56
230.5, 0.6918, 20.33
231.0, 0.6757, 21.10
231.5, 0.6592, 21.92
232.0, 0.6432, 22.74
232.5, 0.6266, 23.62
233.0, 0.6103, 24.53
233.5, 0.5946, 25.43
234.0, 0.5792, 26.35
234.5, 0.5644, 27.26
235.0, 0.5499, 28.19
235.5, 0.5356, 29.13
236.0, 0.5223, 30.04
236.5, 0.5097, 30.93
237.0, 0.4969, 31.85
237.5, 0.4847, 32.76
238.0, 0.4732, 33.64
238.5, 0.4621, 34.51
239.0, 0.4524, 35.29
239.5, 0.4429, 36.07
240.0, 0.4340, 36.81
240.5, 0.4258, 37.51
241.0, 0.4182, 38.18
241.5, 0.4111, 38.81
242.0, 0.4044, 39.41
242.5, 0.3979, 40.01
243.0, 0.3918, 40.57
243.5, 0.3861, 41.10
244.0, 0.3810, 41.59
244.5, 0.3762, 42.06
245.0, 0.3715, 42.51
245.5, 0.3673, 42.92
246.0, 0.3634, 43.31
246.5, 0.3596, 43.70
247.0, 0.3561, 44.04
247.5, 0.3525, 44.41
248.0, 0.3494, 44.73
248.5, 0.3466, 45.02
249.0, 0.3437, 45.32
249.5, 0.3411, 45.59
250.0, 0.3386, 45.86
250.5, 0.3361, 46.12
251.0, 0.3338, 46.36
251.5, 0.3316, 46.60
252.0, 0.3295, 46.82
252.5, 0.3276, 47.04
253.0, 0.3257, 47.23
253.5, 0.3240, 47.43
254.0, 0.3223, 47.60
254.5, 0.3200, 47.87
255.0, 0.3187, 48.01
255.5, 0.3173, 48.16
256.0, 0.3158, 48.33
256.5, 0.3146, 48.46
257.0, 0.3133, 48.60
257.5, 0.3122, 48.73
258.0, 0.3113, 48.84
258.5, 0.3103, 48.95
259.0, 0.3093, 49.06
259.5, 0.3084, 49.16
260.0, 0.3077, 49.24
260.5, 0.3069, 49.32
261.0, 0.3061, 49.42
261.5, 0.3053, 49.51
262.0, 0.3044, 49.62
262.5, 0.3036, 49.70
263.0, 0.3031, 49.76
263.5, 0.3025, 49.83
264.0, 0.3019, 49.90
264.5, 0.3015, 49.94
265.0, 0.3012, 49.98
265.5, 0.3008, 50.03
266.0, 0.3003, 50.08
266.5, 0.2999, 50.13
267.0, 0.2993, 50.20
267.5, 0.2989, 50.25
268.0, 0.2985, 50.29
268.5, 0.2983, 50.31
269.0, 0.2978, 50.38
269.5, 0.2976, 50.39
270.0, 0.2975, 50.41
270.5, 0.2970, 50.46
271.0, 0.2966, 50.52
271.5, 0.2962, 50.56
272.0, 0.2960, 50.58
272.5, 0.2957, 50.62
273.0, 0.2953, 50.66
273.5, 0.2951, 50.68
274.0, 0.2948, 50.72
274.5, 0.2946, 50.75
275.0, 0.2943, 50.78
275.5, 0.2939, 50.83
276.0, 0.2934, 50.88
276.5, 0.2930, 50.93
277.0, 0.2923, 51.01
277.5, 0.2920, 51.05
278.0, 0.2914, 51.12
278.5, 0.2908, 51.19
279.0, 0.2903, 51.25
279.5, 0.2895, 51.34
280.0, 0.2887, 51.43
280.5, 0.2880, 51.52
281.0, 0.2871, 51.63
281.5, 0.2861, 51.75
282.0, 0.2851, 51.87
282.5, 0.2842, 51.97
283.0, 0.2832, 52.09
283.5, 0.2822, 52.21
284.0, 0.2810, 52.35
284.5, 0.2797, 52.51
285.0, 0.2785, 52.67
285.5, 0.2768, 52.87
286.0, 0.2751, 53.07
286.5, 0.2734, 53.29
287.0, 0.2715, 53.51
287.5, 0.2698, 53.72
288.0, 0.2681, 53.93
288.5, 0.2664, 54.15
289.0, 0.2648, 54.35
289.5, 0.2631, 54.57
290.0, 0.2616, 54.75
290.5, 0.2600, 54.96
291.0, 0.2581, 55.19
291.5, 0.2564, 55.42
292.0, 0.2546, 55.64
292.5, 0.2529, 55.86
293.0, 0.2513, 56.07
293.5, 0.2497, 56.27
294.0, 0.2480, 56.49
294.5, 0.2463, 56.71
295.0, 0.2448, 56.92
295.5, 0.2432, 57.13
296.0, 0.2416, 57.33
296.5, 0.2400, 57.54
297.0, 0.2387, 57.72
297.5, 0.2373, 57.90
298.0, 0.2362, 58.06
298.5, 0.2351, 58.19
299.0, 0.2337, 58.38
299.5, 0.2326, 58.53
300.0, 0.2316, 58.67
300.5, 0.2304, 58.83
301.0, 0.2293, 58.98
301.5, 0.2283, 59.12
302.0, 0.2273, 59.25
302.5, 0.2264, 59.37
303.0, 0.2256, 59.49
303.5, 0.2248, 59.60
304.0, 0.2239, 59.72
304.5, 0.2229, 59.86
305.0, 0.2221, 59.97
305.5, 0.2212, 60.08
306.0, 0.2204, 60.20
306.5, 0.2197, 60.30
307.0, 0.2191, 60.38
307.5, 0.2184, 60.48
308.0, 0.2177, 60.57
308.5, 0.2172, 60.65
309.0, 0.2166, 60.73
309.5, 0.2158, 60.84
310.0, 0.2153, 60.91
310.5, 0.2146, 61.01
311.0, 0.2139, 61.11
311.5, 0.2135, 61.16
312.0, 0.2132, 61.21
312.5, 0.2126, 61.30
313.0, 0.2122, 61.35
313.5, 0.2117, 61.42
314.0, 0.2114, 61.46
314.5, 0.2108, 61.55
315.0, 0.2103, 61.61
315.5, 0.2098, 61.69
316.0, 0.2093, 61.76
316.5, 0.2089, 61.81
317.0, 0.2086, 61.86
317.5, 0.2082, 61.92
318.0, 0.2079, 61.96
318.5, 0.2075, 62.02
319.0, 0.2070, 62.08
319.5, 0.2069, 62.11
320.0, 0.2064, 62.17
320.5, 0.2059, 62.25
321.0, 0.2055, 62.30
321.5, 0.2053, 62.33
322.0, 0.2050, 62.38
322.5, 0.2047, 62.42
323.0, 0.2043, 62.48
323.5, 0.2040, 62.52
324.0, 0.2037, 62.56
324.5, 0.2033, 62.61
325.0, 0.2030, 62.67
325.5, 0.2025, 62.74
326.0, 0.2022, 62.77
326.5, 0.2019, 62.82
327.0, 0.2016, 62.87
327.5, 0.2014, 62.89
328.0, 0.2011, 62.93
328.5, 0.2010, 62.95
329.0, 0.2005, 63.02
329.5, 0.2002, 63.07
330.0, 0.1998, 63.13
330.5, 0.1994, 63.18
331.0, 0.1992, 63.22
331.5, 0.1990, 63.25
332.0, 0.1987, 63.29
332.5, 0.1985, 63.31
333.0, 0.1982, 63.36
333.5, 0.1979, 63.40
334.0, 0.1976, 63.45
334.5, 0.1973, 63.49
335.0, 0.1969, 63.55
335.5, 0.1965, 63.60
336.0, 0.1963, 63.64
336.5, 0.1960, 63.68
337.0, 0.1959, 63.70
337.5, 0.1956, 63.73
338.0, 0.1955, 63.75
338.5, 0.1953, 63.78
339.0, 0.1951, 63.81
339.5, 0.1963, 63.63
340.0, 0.1961, 63.67
340.5, 0.1960, 63.67
341.0, 0.1959, 63.70
341.5, 0.1955, 63.76
342.0, 0.1952, 63.79
342.5, 0.1951, 63.81
343.0, 0.1950, 63.83
343.5, 0.1949, 63.85
344.0, 0.1945, 63.89
344.5, 0.1944, 63.91
345.0, 0.1942, 63.95
345.5, 0.1939, 63.99
346.0, 0.1936, 64.03
346.5, 0.1934, 64.06
347.0, 0.1932, 64.10
347.5, 0.1930, 64.12
348.0, 0.1929, 64.14
348.5, 0.1928, 64.16
349.0, 0.1924, 64.21
349.5, 0.1922, 64.24
350.0, 0.1920, 64.27
350.5, 0.1918, 64.29
351.0, 0.1915, 64.34
351.5, 0.1912, 64.39
352.0, 0.1910, 64.41
352.5, 0.1908, 64.44
353.0, 0.1906, 64.47
353.5, 0.1904, 64.50
354.0, 0.1902, 64.53
354.5, 0.1899, 64.58
355.0, 0.1898, 64.59
355.5, 0.1896, 64.62
356.0, 0.1891, 64.69
356.5, 0.1891, 64.70
357.0, 0.1889, 64.72
357.5, 0.1888, 64.75
358.0, 0.1886, 64.77
358.5, 0.1885, 64.79
359.0, 0.1881, 64.85
359.5, 0.1880, 64.86
360.0, 0.1878, 64.89
360.5, 0.1875, 64.93
361.0, 0.1873, 64.97
361.5, 0.1872, 64.99
362.0, 0.1871, 65.00
362.5, 0.1868, 65.04
363.0, 0.1868, 65.05
363.5, 0.1867, 65.06
364.0, 0.1865, 65.09
364.5, 0.1863, 65.12
365.0, 0.1861, 65.15
365.5, 0.1859, 65.18
366.0, 0.1859, 65.18
366.5, 0.1858, 65.19
367.0, 0.1855, 65.23
367.5, 0.1854, 65.25
368.0, 0.1855, 65.24
368.5, 0.1855, 65.24
369.0, 0.1853, 65.28
369.5, 0.1850, 65.31
370.0, 0.1852, 65.29
370.5, 0.1855, 65.23
371.0, 0.1852, 65.29
371.5, 0.1853, 65.26
372.0, 0.1853, 65.27
372.5, 0.1852, 65.29
373.0, 0.1851, 65.29
373.5, 0.1850, 65.32
374.0, 0.1849, 65.33
374.5, 0.1849, 65.33
375.0, 0.1845, 65.38
375.5, 0.1844, 65.40
376.0, 0.1844, 65.41
376.5, 0.1844, 65.40
377.0, 0.1844, 65.40
377.5, 0.1842, 65.43
378.0, 0.1840, 65.46
378.5, 0.1840, 65.46
379.0, 0.1839, 65.48
379.5, 0.1837, 65.51
380.0, 0.1835, 65.54
380.5, 0.1833, 65.57
381.0, 0.1832, 65.58
381.5, 0.1832, 65.59
382.0, 0.1831, 65.61
382.5, 0.1828, 65.64
383.0, 0.1827, 65.66
383.5, 0.1826, 65.68
384.0, 0.1826, 65.68
384.5, 0.1824, 65.70
385.0, 0.1823, 65.72
385.5, 0.1820, 65.77
386.0, 0.1820, 65.77
386.5, 0.1820, 65.76
387.0, 0.1818, 65.80
387.5, 0.1816, 65.83
388.0, 0.1815, 65.84
388.5, 0.1814, 65.86
389.0, 0.1813, 65.87
389.5, 0.1811, 65.91
390.0, 0.1809, 65.93
390.5, 0.1809, 65.93
391.0, 0.1809, 65.93
