Sample Name, Sample-4
Time, March 20 15:09:27 2023
Operator, Smith
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 0.5nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
190.0, 1.3605, 4.36
190.5, 1.4086, 3.90
191.0, 1.4330, 3.69
191.5, 1.4569, 3.49
192.0, 1.4761, 3.34
192.5, 1.4790, 3.32
193.0, 1.4902, 3.23
193.5, 1.5011, 3.15
194.0, 1.5116, 3.08
194.5, 1.5162, 3.05
195.0, 1.5206, 3.02
195.5, 1.5131, 3.07
196.0, 1.5087, 3.10
196.5, 1.4991, 3.17
197.0, 1.4815, 3.30
197.5, 1.4639, 3.44
198.0, 1.4453, 3.59
198.5, 1.4240, 3.77
199.0, 1.4029, 3.95
199.5, 1.3803, 4.17
200.0, 1.3546, 4.42
200.5, 1.3295, 4.68
201.0, 1.3010, 5.00
201.5, 1.2708, 5.36
202.0, 1.2381, 5.78
202.5, 1.2065, 6.22
203.0, 1.1750, 6.68
203.5, 1.1423, 7.21
204.0, 1.1124, 7.72
204.5, 1.0833, 8.25
205.0, 1.0551, 8.81
205.5, 1.0259, 9.42
206.0, 0.9971, 10.07
206.5, 0.9684, 10.75
207.0, 0.9419, 11.43
207.5, 0.9151, 12.16
208.0, 0.8897, 12.89
208.5, 0.8656, 13.63
209.0, 0.8434, 14.34
209.5, 0.8219, 15.07
210.0, 0.8019, 15.78
210.5, 0.7824, 16.50
211.0, 0.7633, 17.25
211.5, 0.7452, 17.98
212.0, 0.7286, 18.68
212.5, 0.7124, 19.39
213.0, 0.6961, 20.13
213.5, 0.6805, 20.87
214.0, 0.6660, 21.58
214.5, 0.6523, 22.27
215.0, 0.6392, 22.95
215.5, 0.6258, 23.67
216.0, 0.6134, 24.35
216.5, 0.6013, 25.04
217.0, 0.5905, 25.67
217.5, 0.5797, 26.32
218.0, 0.5688, 26.99
218.5, 0.5587, 27.63
219.0, 0.5489, 28.25
219.5, 0.5396, 28.87
220.0, 0.5306, 29.47
220.5, 0.5213, 30.11
221.0, 0.5124, 30.73
221.5, 0.5037, 31.36
222.0, 0.4952, 31.97
222.5, 0.4871, 32.58
223.0, 0.4787, 33.21
223.5, 0.4708, 33.82
224.0, 0.4632, 34.42
224.5, 0.4559, 35.01
225.0, 0.4484, 35.61
225.5, 0.4406, 36.26
226.0, 0.4329, 36.91
226.5, 0.4255, 37.54
227.0, 0.4178, 38.21
227.5, 0.4102, 38.89
228.0, 0.4025, 39.59
228.5, 0.3947, 40.30
229.0, 0.3875, 40.97
229.5, 0.3800, 41.69
230.0, 0.3724, 42.43
230.5, 0.3642, 43.23
231.0, 0.3563, 44.03
231.5, 0.3482, 44.85
232.0, 0.3404, 45.67
232.5, 0.3324, 46.52
233.0, 0.3245, 47.37
233.5, 0.3169, 48.21
234.0, 0.3097, 49.01
234.5, 0.3026, 49.82
235.0, 0.2956, 50.63
235.5, 0.2886, 51.45
236.0, 0.2819, 52.25
236.5, 0.2756, 53.01
237.0, 0.2697, 53.74
237.5, 0.2637, 54.49
238.0, 0.2582, 55.19
238.5, 0.2529, 55.86
239.0, 0.2481, 56.48
239.5, 0.2436, 57.07
240.0, 0.2393, 57.64
240.5, 0.2353, 58.17
241.0, 0.2314, 58.70
241.5, 0.2280, 59.16
242.0, 0.2246, 59.63
242.5, 0.2213, 60.07
243.0, 0.2184, 60.48
243.5, 0.2157, 60.85
244.0, 0.2133, 61.19
244.5, 0.2109, 61.54
245.0, 0.2087, 61.85
245.5, 0.2064, 62.18
246.0, 0.2044, 62.46
246.5, 0.2024, 62.75
247.0, 0.2006, 63.01
247.5, 0.1988, 63.27
248.0, 0.1973, 63.49
248.5, 0.1960, 63.68
249.0, 0.1945, 63.90
249.5, 0.1932, 64.09
250.0, 0.1919, 64.28
250.5, 0.1905, 64.49
251.0, 0.1893, 64.67
251.5, 0.1881, 64.85
252.0, 0.1870, 65.02
252.5, 0.1859, 65.17
253.0, 0.1851, 65.30
253.5, 0.1842, 65.43
254.0, 0.1835, 65.54
254.5, 0.1818, 65.80
255.0, 0.1810, 65.91
255.5, 0.1803, 66.03
256.0, 0.1795, 66.14
256.5, 0.1787, 66.26
257.0, 0.1780, 66.37
257.5, 0.1775, 66.46
258.0, 0.1771, 66.52
258.5, 0.1766, 66.59
259.0, 0.1762, 66.66
259.5, 0.1756, 66.74
260.0, 0.1752, 66.81
260.5, 0.1748, 66.87
261.0, 0.1742, 66.96
