Sample Name, Sample-1
Time, March 20 14:20:27 2023
Operator, Smith
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 0.5nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
190.0, 0.1503, 70.74
190.5, 0.1471, 71.26
191.0, 0.1447, 71.67
191.5, 0.1421, 72.09
192.0, 0.1401, 72.42
192.5, 0.1380, 72.77
193.0, 0.1358, 73.14
193.5, 0.1342, 73.41
194.0, 0.1316, 73.85
194.5, 0.1299, 74.15
195.0, 0.1282, 74.44
195.5, 0.1263, 74.76
196.0, 0.1248, 75.02
196.5, 0.1230, 75.34
197.0, 0.1214, 75.62
197.5, 0.1195, 75.95
198.0, 0.1178, 76.25
198.5, 0.1156, 76.63
199.0, 0.1134, 77.01
199.5, 0.1118, 77.30
200.0, 0.1098, 77.66
200.5, 0.1079, 78.00
201.0, 0.1062, 78.30
201.5, 0.1043, 78.65
202.0, 0.1025, 78.97
202.5, 0.1007, 79.31
203.0, 0.0988, 79.65
203.5, 0.0970, 79.98
204.0, 0.0952, 80.32
204.5, 0.0936, 80.62
205.0, 0.0919, 80.92
205.5, 0.0905, 81.19
206.0, 0.0891, 81.46
206.5, 0.0875, 81.76
207.0, 0.0861, 82.01
207.5, 0.0847, 82.28
208.0, 0.0831, 82.58
208.5, 0.0818, 82.83
209.0, 0.0807, 83.05
209.5, 0.0794, 83.28
210.0, 0.0784, 83.49
210.5, 0.0773, 83.70
211.0, 0.0762, 83.91
211.5, 0.0754, 84.07
212.0, 0.0745, 84.25
212.5, 0.0735, 84.42
213.0, 0.0727, 84.59
213.5, 0.0716, 84.79
214.0, 0.0709, 84.93
214.5, 0.0702, 85.07
215.0, 0.0695, 85.20
215.5, 0.0690, 85.30
216.0, 0.0684, 85.43
216.5, 0.0680, 85.51
217.0, 0.0674, 85.62
217.5, 0.0671, 85.68
218.0, 0.0667, 85.77
218.5, 0.0663, 85.84
219.0, 0.0659, 85.92
219.5, 0.0655, 86.00
220.0, 0.0653, 86.04
220.5, 0.0650, 86.10
221.0, 0.0650, 86.10
221.5, 0.0648, 86.15
222.0, 0.0647, 86.16
222.5, 0.0646, 86.18
223.0, 0.0642, 86.25
223.5, 0.0642, 86.27
224.0, 0.0640, 86.29
224.5, 0.0639, 86.32
225.0, 0.0639, 86.32
225.5, 0.0637, 86.36
226.0, 0.0635, 86.39
226.5, 0.0635, 86.39
227.0, 0.0634, 86.42
227.5, 0.0633, 86.44
228.0, 0.0630, 86.50
228.5, 0.0628, 86.53
229.0, 0.0627, 86.57
229.5, 0.0624, 86.62
230.0, 0.0623, 86.64
230.5, 0.0621, 86.68
231.0, 0.0619, 86.71
231.5, 0.0618, 86.73
232.0, 0.0615, 86.80
232.5, 0.0610, 86.89
233.0, 0.0607, 86.96
233.5, 0.0605, 86.99
234.0, 0.0602, 87.06
234.5, 0.0599, 87.12
235.0, 0.0597, 87.16
235.5, 0.0593, 87.23
236.0, 0.0591, 87.28
236.5, 0.0587, 87.35
237.0, 0.0583, 87.43
237.5, 0.0579, 87.51
238.0, 0.0576, 87.59
238.5, 0.0573, 87.65
239.0, 0.0569, 87.72
239.5, 0.0566, 87.79
240.0, 0.0562, 87.86
240.5, 0.0559, 87.92
241.0, 0.0556, 87.98
241.5, 0.0552, 88.07
242.0, 0.0549, 88.14
242.5, 0.0545, 88.22
243.0, 0.0541, 88.29
243.5, 0.0537, 88.37
244.0, 0.0534, 88.42
244.5, 0.0530, 88.51
245.0, 0.0528, 88.56
245.5, 0.0525, 88.62
246.0, 0.0521, 88.69
246.5, 0.0517, 88.77
247.0, 0.0514, 88.83
247.5, 0.0511, 88.91
248.0, 0.0508, 88.97
248.5, 0.0505, 89.03
249.0, 0.0502, 89.09
249.5, 0.0499, 89.14
250.0, 0.0497, 89.19
250.5, 0.0495, 89.22
251.0, 0.0491, 89.30
