Sample Name, Sample-2
Time, March 20 14:43:41 2023
Operator, Smith
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 0.5nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
190.0, 2.0050, 0.99
190.5, 2.0638, 0.86
191.0, 2.1082, 0.78
191.5, 2.1434, 0.72
192.0, 2.1308, 0.74
192.5, 2.1756, 0.67
193.0, 2.2241, 0.60
193.5, 2.2749, 0.53
194.0, 2.3320, 0.47
194.5, 2.3527, 0.44
195.0, 2.4058, 0.39
195.5, 2.4026, 0.40
196.0, 2.4157, 0.38
196.5, 2.4028, 0.40
197.0, 2.4061, 0.39
197.5, 2.4389, 0.36
198.0, 2.4259, 0.38
198.5, 2.4725, 0.34
199.0, 2.4872, 0.33
199.5, 2.5369, 0.29
200.0, 2.5360, 0.29
200.5, 2.5807, 0.26
201.0, 2.5784, 0.26
201.5, 2.5599, 0.28
202.0, 2.5332, 0.29
202.5, 2.5493, 0.28
203.0, 2.5507, 0.28
203.5, 2.5721, 0.27
204.0, 2.6146, 0.24
204.5, 2.6294, 0.23
205.0, 2.6377, 0.23
205.5, 2.6309, 0.23
206.0, 2.6158, 0.24
206.5, 2.6099, 0.25
207.0, 2.5839, 0.26
207.5, 2.5918, 0.26
208.0, 2.5875, 0.26
208.5, 2.5903, 0.26
209.0, 2.5999, 0.25
209.5, 2.6259, 0.24
210.0, 2.5903, 0.26
210.5, 2.5690, 0.27
211.0, 2.5281, 0.30
211.5, 2.4953, 0.32
212.0, 2.4749, 0.34
212.5, 2.4637, 0.34
213.0, 2.4318, 0.37
213.5, 2.4079, 0.39
214.0, 2.3908, 0.41
214.5, 2.3610, 0.44
215.0, 2.3389, 0.46
215.5, 2.3020, 0.50
216.0, 2.2581, 0.55
216.5, 2.2213, 0.60
217.0, 2.1927, 0.64
217.5, 2.1541, 0.70
218.0, 2.1304, 0.74
218.5, 2.0927, 0.81
219.0, 2.0738, 0.84
219.5, 2.0452, 0.90
220.0, 2.0110, 0.97
220.5, 1.9756, 1.06
221.0, 1.9441, 1.14
221.5, 1.9123, 1.22
222.0, 1.8825, 1.31
222.5, 1.8532, 1.40
223.0, 1.8250, 1.50
223.5, 1.7964, 1.60
224.0, 1.7690, 1.70
224.5, 1.7417, 1.81
225.0, 1.7110, 1.95
225.5, 1.6792, 2.09
226.0, 1.6500, 2.24
226.5, 1.6215, 2.39
227.0, 1.5904, 2.57
227.5, 1.5595, 2.76
228.0, 1.5297, 2.95
228.5, 1.5020, 3.15
229.0, 1.4733, 3.36
229.5, 1.4437, 3.60
230.0, 1.4107, 3.88
230.5, 1.3775, 4.19
231.0, 1.3446, 4.52
231.5, 1.3130, 4.86
232.0, 1.2804, 5.24
232.5, 1.2485, 5.64
233.0, 1.2167, 6.07
233.5, 1.1857, 6.52
234.0, 1.1560, 6.98
234.5, 1.1261, 7.48
235.0, 1.0970, 8.00
235.5, 1.0674, 8.56
236.0, 1.0406, 9.11
236.5, 1.0151, 9.66
237.0, 0.9900, 10.23
237.5, 0.9655, 10.83
238.0, 0.9431, 11.40
238.5, 0.9219, 11.97
239.0, 0.9014, 12.55
239.5, 0.8825, 13.11
240.0, 0.8641, 13.67
240.5, 0.8477, 14.20
241.0, 0.8321, 14.72
241.5, 0.8177, 15.21
242.0, 0.8044, 15.69
242.5, 0.7912, 16.17
243.0, 0.7791, 16.63
243.5, 0.7680, 17.06
244.0, 0.7576, 17.47
244.5, 0.7473, 17.89
245.0, 0.7377, 18.29
245.5, 0.7288, 18.67
246.0, 0.7205, 19.03
246.5, 0.7128, 19.38
247.0, 0.7057, 19.69
247.5, 0.6988, 20.01
248.0, 0.6924, 20.31
248.5, 0.6866, 20.58
249.0, 0.6810, 20.85
249.5, 0.6752, 21.12
250.0, 0.6695, 21.41
250.5, 0.6644, 21.66
251.0, 0.6597, 21.89
251.5, 0.6553, 22.12
252.0, 0.6510, 22.34
252.5, 0.6470, 22.54
253.0, 0.6433, 22.73
253.5, 0.6396, 22.93
