Sample Name, Sample-1
Time, March 10 13:30:39 2023
Operator, Smith
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 0.5nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
292.5, 0.0406, 91.08
293.0, 0.0406, 91.07
293.5, 0.0405, 91.09
294.0, 0.0405, 91.09
294.5, 0.0405, 91.09
295.0, 0.0405, 91.11
295.5, 0.0404, 91.12
296.0, 0.0404, 91.12
296.5, 0.0403, 91.14
297.0, 0.0403, 91.13
297.5, 0.0402, 91.15
298.0, 0.0401, 91.17
298.5, 0.0401, 91.18
299.0, 0.0401, 91.19
299.5, 0.0401, 91.17
300.0, 0.0401, 91.17
300.5, 0.0401, 91.19
301.0, 0.0400, 91.20
301.5, 0.0399, 91.22
302.0, 0.0398, 91.24
302.5, 0.0398, 91.24
303.0, 0.0398, 91.25
303.5, 0.0397, 91.26
304.0, 0.0397, 91.27
304.5, 0.0398, 91.24
305.0, 0.0397, 91.26
305.5, 0.0397, 91.26
306.0, 0.0395, 91.30
306.5, 0.0395, 91.30
307.0, 0.0394, 91.32
307.5, 0.0394, 91.32
308.0, 0.0394, 91.32
308.5, 0.0393, 91.35
309.0, 0.0394, 91.34
309.5, 0.0393, 91.34
310.0, 0.0394, 91.33
310.5, 0.0393, 91.35
311.0, 0.0392, 91.37
311.5, 0.0391, 91.39
312.0, 0.0391, 91.39
312.5, 0.0390, 91.42
313.0, 0.0390, 91.41
313.5, 0.0389, 91.43
314.0, 0.0389, 91.43
314.5, 0.0390, 91.41
315.0, 0.0389, 91.44
315.5, 0.0388, 91.45
316.0, 0.0388, 91.45
316.5, 0.0387, 91.47
317.0, 0.0387, 91.48
317.5, 0.0387, 91.47
318.0, 0.0386, 91.50
318.5, 0.0386, 91.49
319.0, 0.0386, 91.49
319.5, 0.0387, 91.47
320.0, 0.0386, 91.50
320.5, 0.0385, 91.52
321.0, 0.0384, 91.55
321.5, 0.0384, 91.54
322.0, 0.0384, 91.54
322.5, 0.0383, 91.55
323.0, 0.0383, 91.56
323.5, 0.0383, 91.55
324.0, 0.0383, 91.57
324.5, 0.0383, 91.56
325.0, 0.0382, 91.57
325.5, 0.0381, 91.59
326.0, 0.0381, 91.61
326.5, 0.0381, 91.61
327.0, 0.0380, 91.63
327.5, 0.0380, 91.62
328.0, 0.0379, 91.65
328.5, 0.0379, 91.64
329.0, 0.0380, 91.62
329.5, 0.0379, 91.65
330.0, 0.0378, 91.66
330.5, 0.0377, 91.68
331.0, 0.0376, 91.71
331.5, 0.0376, 91.70
332.0, 0.0376, 91.70
332.5, 0.0376, 91.70
333.0, 0.0376, 91.72
333.5, 0.0377, 91.69
334.0, 0.0376, 91.70
334.5, 0.0375, 91.73
335.0, 0.0374, 91.75
335.5, 0.0374, 91.76
336.0, 0.0373, 91.77
336.5, 0.0373, 91.77
337.0, 0.0373, 91.77
337.5, 0.0374, 91.75
338.0, 0.0374, 91.74
338.5, 0.0373, 91.76
339.0, 0.0373, 91.76
339.5, 0.0379, 91.64
340.0, 0.0377, 91.69
340.5, 0.0378, 91.67
341.0, 0.0379, 91.64
341.5, 0.0378, 91.67
342.0, 0.0376, 91.70
342.5, 0.0377, 91.69
343.0, 0.0377, 91.68
343.5, 0.0376, 91.71
344.0, 0.0377, 91.68
344.5, 0.0377, 91.69
345.0, 0.0374, 91.75
345.5, 0.0374, 91.75
346.0, 0.0375, 91.73
346.5, 0.0373, 91.77
347.0, 0.0373, 91.78
347.5, 0.0372, 91.79
348.0, 0.0373, 91.78
348.5, 0.0373, 91.78
349.0, 0.0372, 91.78
349.5, 0.0372, 91.79
350.0, 0.0371, 91.81
350.5, 0.0370, 91.83
351.0, 0.0370, 91.83
351.5, 0.0369, 91.85
352.0, 0.0369, 91.85
352.5, 0.0370, 91.84
353.0, 0.0369, 91.85
353.5, 0.0368, 91.87
354.0, 0.0368, 91.87
354.5, 0.0367, 91.89
355.0, 0.0367, 91.90
355.5, 0.0367, 91.90
356.0, 0.0367, 91.90
356.5, 0.0366, 91.93
357.0, 0.0366, 91.92
357.5, 0.0366, 91.92
358.0, 0.0365, 91.94
358.5, 0.0366, 91.93
359.0, 0.0365, 91.95
359.5, 0.0363, 91.98
360.0, 0.0363, 91.97
360.5, 0.0363, 91.98
361.0, 0.0363, 91.98
361.5, 0.0362, 92.00
362.0, 0.0362, 92.00
362.5, 0.0361, 92.02
363.0, 0.0361, 92.01
363.5, 0.0362, 92.01
364.0, 0.0361, 92.02
364.5, 0.0361, 92.03
365.0, 0.0360, 92.05
365.5, 0.0359, 92.06
366.0, 0.0359, 92.07
366.5, 0.0359, 92.07
367.0, 0.0359, 92.07
367.5, 0.0358, 92.09
368.0, 0.0358, 92.09
368.5, 0.0357, 92.10
369.0, 0.0358, 92.08
369.5, 0.0358, 92.08
370.0, 0.0357, 92.10
370.5, 0.0357, 92.10
371.0, 0.0357, 92.10
371.5, 0.0357, 92.11
372.0, 0.0357, 92.11
372.5, 0.0356, 92.13
373.0, 0.0357, 92.11
373.5, 0.0357, 92.11
374.0, 0.0356, 92.14
374.5, 0.0356, 92.12
375.0, 0.0356, 92.12
375.5, 0.0356, 92.13
376.0, 0.0355, 92.15
376.5, 0.0355, 92.16
377.0, 0.0356, 92.14
377.5, 0.0357, 92.10
378.0, 0.0357, 92.12
378.5, 0.0357, 92.12
379.0, 0.0355, 92.15
379.5, 0.0355, 92.14
380.0, 0.0355, 92.15
380.5, 0.0355, 92.16
381.0, 0.0355, 92.16
381.5, 0.0355, 92.16
382.0, 0.0356, 92.13
382.5, 0.0355, 92.14
383.0, 0.0356, 92.14
383.5, 0.0355, 92.15
384.0, 0.0355, 92.16
384.5, 0.0355, 92.16
385.0, 0.0354, 92.17
385.5, 0.0354, 92.17
386.0, 0.0353, 92.18
386.5, 0.0353, 92.18
387.0, 0.0354, 92.17
387.5, 0.0353, 92.18
388.0, 0.0353, 92.18
388.5, 0.0354, 92.18
389.0, 0.0352, 92.20
389.5, 0.0353, 92.19
390.0, 0.0353, 92.20
390.5, 0.0354, 92.18
391.0, 0.0353, 92.19
391.5, 0.0352, 92.21
392.0, 0.0354, 92.17
392.5, 0.0355, 92.16
393.0, 0.0353, 92.18
393.5, 0.0354, 92.17
394.0, 0.0353, 92.20
394.5, 0.0353, 92.20
395.0, 0.0352, 92.21
395.5, 0.0352, 92.22
396.0, 0.0352, 92.22
396.5, 0.0353, 92.19
397.0, 0.0352, 92.21
397.5, 0.0353, 92.20
398.0, 0.0353, 92.20
398.5, 0.0352, 92.22
399.0, 0.0352, 92.22
399.5, 0.0353, 92.20
400.0, 0.0353, 92.20
400.5, 0.0351, 92.23
401.0, 0.0352, 92.22
401.5, 0.0352, 92.22
402.0, 0.0353, 92.20
402.5, 0.0351, 92.23
403.0, 0.0352, 92.22
403.5, 0.0351, 92.23
404.0, 0.0352, 92.22
404.5, 0.0352, 92.22
405.0, 0.0350, 92.25
405.5, 0.0350, 92.25
406.0, 0.0351, 92.24
