Sample Name, Sample-3
Time, March 10 13:44:13 2023
Operator, Smith
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 0.5nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
190.0, 1.9813, 1.04
190.5, 2.0198, 0.96
191.0, 2.0595, 0.87
191.5, 2.0886, 0.82
192.0, 2.1501, 0.71
192.5, 2.2071, 0.62
193.0, 2.2873, 0.52
193.5, 2.3262, 0.47
194.0, 2.3556, 0.44
194.5, 2.4014, 0.40
195.0, 2.3634, 0.43
195.5, 2.3698, 0.43
196.0, 2.3872, 0.41
196.5, 2.3927, 0.40
197.0, 2.4468, 0.36
197.5, 2.4582, 0.35
198.0, 2.4769, 0.33
198.5, 2.5091, 0.31
199.0, 2.5122, 0.31
199.5, 2.4850, 0.33
200.0, 2.4860, 0.33
200.5, 2.4815, 0.33
201.0, 2.4617, 0.35
201.5, 2.4624, 0.34
202.0, 2.4459, 0.36
202.5, 2.4518, 0.35
203.0, 2.4647, 0.34
203.5, 2.4369, 0.37
204.0, 2.4260, 0.37
204.5, 2.3986, 0.40
205.0, 2.3411, 0.46
205.5, 2.3174, 0.48
206.0, 2.2789, 0.53
206.5, 2.2416, 0.57
207.0, 2.2140, 0.61
207.5, 2.1856, 0.65
208.0, 2.1494, 0.71
208.5, 2.1174, 0.76
209.0, 2.0770, 0.84
209.5, 2.0333, 0.93
210.0, 1.9917, 1.02
210.5, 1.9544, 1.11
211.0, 1.9213, 1.20
211.5, 1.8843, 1.31
212.0, 1.8519, 1.41
212.5, 1.8251, 1.50
213.0, 1.7938, 1.61
213.5, 1.7619, 1.73
214.0, 1.7308, 1.86
214.5, 1.6996, 2.00
215.0, 1.6672, 2.15
215.5, 1.6365, 2.31
216.0, 1.6115, 2.45
216.5, 1.5837, 2.61
217.0, 1.5637, 2.73
217.5, 1.5361, 2.91
218.0, 1.5151, 3.05
218.5, 1.4909, 3.23
219.0, 1.4676, 3.41
219.5, 1.4456, 3.58
220.0, 1.4215, 3.79
220.5, 1.4002, 3.98
221.0, 1.3798, 4.17
221.5, 1.3603, 4.36
222.0, 1.3402, 4.57
222.5, 1.3223, 4.76
223.0, 1.3025, 4.98
223.5, 1.2838, 5.20
224.0, 1.2653, 5.43
224.5, 1.2469, 5.66
225.0, 1.2271, 5.93
225.5, 1.2089, 6.18
226.0, 1.1911, 6.44
226.5, 1.1727, 6.72
227.0, 1.1554, 6.99
227.5, 1.1379, 7.28
228.0, 1.1194, 7.60
228.5, 1.1013, 7.92
229.0, 1.0831, 8.26
229.5, 1.0641, 8.63
230.0, 1.0454, 9.01
230.5, 1.0264, 9.41
231.0, 1.0071, 9.84
231.5, 0.9886, 10.27
232.0, 0.9699, 10.72
232.5, 0.9510, 11.19
233.0, 0.9323, 11.69
233.5, 0.9133, 12.21
234.0, 0.8958, 12.71
234.5, 0.8781, 13.24
235.0, 0.8609, 13.78
235.5, 0.8444, 14.31
236.0, 0.8289, 14.83
236.5, 0.8138, 15.35
237.0, 0.7996, 15.86
237.5, 0.7854, 16.39
238.0, 0.7712, 16.94
238.5, 0.7579, 17.46
239.0, 0.7455, 17.97
239.5, 0.7343, 18.44
240.0, 0.7233, 18.91
240.5, 0.7134, 19.35
241.0, 0.7037, 19.78
241.5, 0.6950, 20.18
242.0, 0.6866, 20.58
242.5, 0.6779, 21.00
243.0, 0.6702, 21.37
243.5, 0.6625, 21.75
244.0, 0.6556, 22.10
244.5, 0.6488, 22.45
245.0, 0.6426, 22.77
245.5, 0.6366, 23.09
246.0, 0.6310, 23.39
246.5, 0.6257, 23.67
247.0, 0.6206, 23.96
247.5, 0.6156, 24.23
248.0, 0.6107, 24.51
248.5, 0.6061, 24.77
249.0, 0.6016, 25.02
249.5, 0.5974, 25.27
250.0, 0.5929, 25.53
250.5, 0.5891, 25.76
251.0, 0.5854, 25.98
251.5, 0.5817, 26.20
252.0, 0.5780, 26.43
252.5, 0.5746, 26.63
253.0, 0.5713, 26.84
253.5, 0.5679, 27.05
254.0, 0.5646, 27.26
254.5, 0.5606, 27.51
255.0, 0.5576, 27.69
255.5, 0.5547, 27.88
256.0, 0.5521, 28.05
256.5, 0.5493, 28.23
257.0, 0.5467, 28.40
257.5, 0.5441, 28.57
258.0, 0.5418, 28.72
258.5, 0.5393, 28.89
259.0, 0.5369, 29.04
259.5, 0.5348, 29.19
260.0, 0.5326, 29.34
260.5, 0.5305, 29.48
261.0, 0.5284, 29.62
261.5, 0.5263, 29.77
262.0, 0.5242, 29.91
262.5, 0.5223, 30.04
263.0, 0.5203, 30.18
263.5, 0.5185, 30.31
264.0, 0.5166, 30.43
264.5, 0.5150, 30.55
265.0, 0.5134, 30.66
265.5, 0.5118, 30.78
266.0, 0.5103, 30.88
266.5, 0.5089, 30.98
267.0, 0.5073, 31.09
267.5, 0.5056, 31.22
268.0, 0.5042, 31.32
268.5, 0.5026, 31.44
269.0, 0.5009, 31.55
269.5, 0.4995, 31.66
270.0, 0.4981, 31.76
270.5, 0.4970, 31.84
271.0, 0.4956, 31.94
271.5, 0.4942, 32.05
272.0, 0.4928, 32.15
272.5, 0.4913, 32.26
273.0, 0.4900, 32.36
273.5, 0.4886, 32.46
274.0, 0.4872, 32.57
274.5, 0.4857, 32.68
275.0, 0.4844, 32.78
275.5, 0.4831, 32.88
276.0, 0.4816, 32.99
276.5, 0.4801, 33.10
277.0, 0.4785, 33.22
277.5, 0.4769, 33.35
278.0, 0.4753, 33.47
278.5, 0.4738, 33.59
279.0, 0.4720, 33.73
279.5, 0.4702, 33.87
280.0, 0.4686, 33.99
280.5, 0.4669, 34.13
281.0, 0.4649, 34.28
281.5, 0.4633, 34.41
282.0, 0.4612, 34.58
282.5, 0.4591, 34.74
283.0, 0.4571, 34.91
283.5, 0.4550, 35.07
284.0, 0.4528, 35.25
284.5, 0.4506, 35.43
285.0, 0.4481, 35.64
285.5, 0.4457, 35.84
286.0, 0.4431, 36.05
286.5, 0.4404, 36.28
287.0, 0.4374, 36.53
287.5, 0.4345, 36.77
288.0, 0.4317, 37.01
288.5, 0.4290, 37.24
289.0, 0.4263, 37.47
289.5, 0.4237, 37.70
290.0, 0.4210, 37.93
290.5, 0.4184, 38.16
291.0, 0.4156, 38.40
291.5, 0.4130, 38.63
292.0, 0.4101, 38.90
292.5, 0.4072, 39.16
293.0, 0.4046, 39.40
293.5, 0.4019, 39.64
294.0, 0.3993, 39.88
294.5, 0.3966, 40.13
295.0, 0.3940, 40.36
295.5, 0.3916, 40.59
296.0, 0.3892, 40.81
296.5, 0.3866, 41.06
297.0, 0.3843, 41.28
297.5, 0.3818, 41.52
298.0, 0.3796, 41.73
298.5, 0.3775, 41.93
299.0, 0.3753, 42.14
299.5, 0.3734, 42.32
300.0, 0.3714, 42.52
300.5, 0.3695, 42.71
301.0, 0.3676, 42.90
301.5, 0.3656, 43.10
302.0, 0.3637, 43.28
302.5, 0.3618, 43.47
303.0, 0.3601, 43.64
303.5, 0.3584, 43.81
304.0, 0.3567, 43.98
304.5, 0.3552, 44.14
305.0, 0.3534, 44.32
305.5, 0.3519, 44.48
306.0, 0.3501, 44.66
306.5, 0.3486, 44.82
307.0, 0.3470, 44.98
307.5, 0.3455, 45.14
308.0, 0.3441, 45.28
308.5, 0.3426, 45.43
309.0, 0.3413, 45.57
309.5, 0.3399, 45.72
310.0, 0.3386, 45.86
310.5, 0.3372, 46.01
311.0, 0.3356, 46.17
311.5, 0.3342, 46.32
312.0, 0.3330, 46.45
312.5, 0.3318, 46.58
313.0, 0.3306, 46.71
313.5, 0.3294, 46.84
314.0, 0.3283, 46.96
314.5, 0.3271, 47.08
315.0, 0.3260, 47.21
315.5, 0.3248, 47.34
316.0, 0.3235, 47.48
316.5, 0.3222, 47.62
317.0, 0.3212, 47.73
