Sample Name, Sample-2
Time, March 10 13:35:31 2023
Operator, Smith
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 0.5nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
190.0, 2.2636, 0.54
190.5, 2.2648, 0.54
191.0, 2.3207, 0.48
191.5, 2.3466, 0.45
192.0, 2.4168, 0.38
192.5, 2.5311, 0.29
193.0, 2.5735, 0.27
193.5, 2.6327, 0.23
194.0, 2.6933, 0.20
194.5, 2.7315, 0.19
195.0, 2.6891, 0.20
195.5, 2.7171, 0.19
196.0, 2.6814, 0.21
196.5, 2.7054, 0.20
197.0, 2.7408, 0.18
197.5, 2.7937, 0.16
198.0, 2.8397, 0.14
198.5, 2.8699, 0.13
199.0, 2.9041, 0.12
199.5, 2.9466, 0.11
200.0, 2.8711, 0.13
200.5, 2.8207, 0.15
201.0, 2.8347, 0.15
201.5, 2.8426, 0.14
202.0, 2.8883, 0.13
202.5, 2.8882, 0.13
203.0, 2.9563, 0.11
203.5, 3.0326, 0.09
204.0, 3.0711, 0.08
204.5, 3.0398, 0.09
205.0, 3.0049, 0.10
205.5, 3.0164, 0.10
206.0, 2.9414, 0.11
206.5, 2.9524, 0.11
207.0, 2.9339, 0.12
207.5, 2.9502, 0.11
208.0, 3.0632, 0.09
208.5, 3.1032, 0.08
209.0, 3.0480, 0.09
209.5, 3.0779, 0.08
210.0, 2.9602, 0.11
210.5, 2.9585, 0.11
211.0, 2.9185, 0.12
211.5, 2.8999, 0.13
212.0, 2.9075, 0.12
212.5, 2.9415, 0.11
213.0, 2.8930, 0.13
213.5, 2.9250, 0.12
214.0, 2.8873, 0.13
214.5, 2.8534, 0.14
215.0, 2.8360, 0.15
215.5, 2.7554, 0.18
216.0, 2.7478, 0.18
216.5, 2.7179, 0.19
217.0, 2.6969, 0.20
217.5, 2.6828, 0.21
218.0, 2.6749, 0.21
218.5, 2.6394, 0.23
219.0, 2.6142, 0.24
219.5, 2.5678, 0.27
220.0, 2.5296, 0.30
220.5, 2.4871, 0.33
221.0, 2.4512, 0.35
221.5, 2.4319, 0.37
222.0, 2.4009, 0.40
222.5, 2.3780, 0.42
223.0, 2.3550, 0.44
223.5, 2.3281, 0.47
224.0, 2.2874, 0.52
224.5, 2.2578, 0.55
225.0, 2.2174, 0.61
225.5, 2.1845, 0.65
