Sample Name, Sample-5
Time, March 10 14:03:24 2023
Operator, Smith
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 0.5nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
190.0, 1.6703, 2.14
190.5, 1.7203, 1.90
191.0, 1.7514, 1.77
191.5, 1.7817, 1.65
192.0, 1.7990, 1.59
192.5, 1.8074, 1.56
193.0, 1.8159, 1.53
193.5, 1.8291, 1.48
194.0, 1.8384, 1.45
194.5, 1.8521, 1.41
195.0, 1.8652, 1.36
195.5, 1.8720, 1.34
196.0, 1.8748, 1.33
196.5, 1.8633, 1.37
197.0, 1.8515, 1.41
197.5, 1.8279, 1.49
198.0, 1.8083, 1.55
198.5, 1.7973, 1.59
199.0, 1.7739, 1.68
199.5, 1.7602, 1.74
200.0, 1.7377, 1.83
200.5, 1.7112, 1.94
201.0, 1.6851, 2.06
201.5, 1.6494, 2.24
202.0, 1.6162, 2.42
202.5, 1.5779, 2.64
203.0, 1.5413, 2.88
203.5, 1.5081, 3.10
204.0, 1.4773, 3.33
204.5, 1.4448, 3.59
205.0, 1.4123, 3.87
205.5, 1.3794, 4.17
206.0, 1.3480, 4.49
206.5, 1.3156, 4.84
207.0, 1.2826, 5.22
207.5, 1.2511, 5.61
208.0, 1.2211, 6.01
208.5, 1.1916, 6.43
209.0, 1.1645, 6.85
209.5, 1.1394, 7.26
210.0, 1.1155, 7.67
210.5, 1.0919, 8.09
211.0, 1.0690, 8.53
211.5, 1.0468, 8.98
212.0, 1.0249, 9.44
212.5, 1.0048, 9.89
213.0, 0.9852, 10.35
213.5, 0.9660, 10.81
214.0, 0.9479, 11.28
214.5, 0.9303, 11.74
215.0, 0.9137, 12.20
215.5, 0.8976, 12.66
216.0, 0.8824, 13.11
216.5, 0.8665, 13.60
217.0, 0.8528, 14.04
217.5, 0.8389, 14.49
218.0, 0.8257, 14.94
218.5, 0.8117, 15.43
219.0, 0.7995, 15.87
219.5, 0.7875, 16.31
220.0, 0.7757, 16.76
220.5, 0.7641, 17.21
221.0, 0.7526, 17.68
221.5, 0.7412, 18.15
222.0, 0.7304, 18.61
222.5, 0.7194, 19.08
